Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
03:27:58 07.09.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),0.971373,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+1.000000000e+03,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-4.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Pos Peak,
Trace Data
+0.000000000e+00,-2.585983467e+01,
+2.173913043e+05,-8.152479553e+01,
+4.347826087e+05,-8.345323944e+01,
+6.521739130e+05,-9.279727936e+01,
+8.695652174e+05,-9.559589386e+01,
+1.086956522e+06,-9.799231720e+01,
+1.304347826e+06,-9.595785522e+01,
+1.521739130e+06,-7.179412079e+01,
+1.739130435e+06,-9.711074829e+01,
+1.956521739e+06,-9.597800446e+01,
+2.173913043e+06,-9.681368256e+01,
+2.391304348e+06,-9.686431122e+01,
+2.608695652e+06,-9.704830933e+01,
+2.826086957e+06,-9.805465698e+01,
+3.043478261e+06,-9.728882599e+01,
+3.260869565e+06,-9.632720947e+01,
+3.478260870e+06,-9.451240540e+01,
+3.695652174e+06,-9.626218414e+01,
+3.913043478e+06,-9.482979584e+01,
+4.130434783e+06,-9.757604980e+01,
+4.347826087e+06,-9.101906586e+01,
+4.565217391e+06,-9.583571625e+01,
+4.782608696e+06,-9.488892365e+01,
+5.000000000e+06,-9.591654205e+01,
+5.217391304e+06,-8.750869751e+01,
+5.434782609e+06,-9.399822235e+01,
+5.652173913e+06,-9.505867767e+01,
+5.869565217e+06,-8.915969086e+01,
+6.086956522e+06,-9.594361115e+01,
+6.304347826e+06,-9.535147858e+01,
+6.521739130e+06,-9.572979736e+01,
+6.739130435e+06,-9.519229126e+01,
+6.956521739e+06,-9.471575928e+01,
+7.173913043e+06,-9.571866608e+01,
+7.391304348e+06,-9.437441254e+01,
+7.608695652e+06,-9.460588837e+01,
+7.826086957e+06,-9.371494293e+01,
+8.043478261e+06,-9.399269104e+01,
+8.260869565e+06,-8.630161285e+01,
+8.478260870e+06,-9.484381104e+01,
+8.695652174e+06,-9.459796143e+01,
+8.913043478e+06,-9.305525970e+01,
+9.130434783e+06,-9.395487976e+01,
+9.347826087e+06,-9.328572845e+01,
+9.565217391e+06,-9.485369110e+01,
+9.782608696e+06,-9.009545135e+01,
+1.000000000e+07,-8.995294189e+01,
+1.021739130e+07,-9.367268372e+01,
+1.043478261e+07,-8.205245209e+01,
+1.065217391e+07,-8.738283539e+01,
+1.086956522e+07,-8.214315033e+01,
+1.108695652e+07,-8.147119141e+01,
+1.130434783e+07,-8.338462067e+01,
+1.152173913e+07,-8.759196472e+01,
+1.173913043e+07,-9.410332489e+01,
+1.195652174e+07,-9.438790131e+01,
+1.217391304e+07,-9.345040131e+01,
+1.239130435e+07,-9.427173615e+01,
+1.260869565e+07,-9.239792633e+01,
+1.282608696e+07,-9.100740814e+01,
+1.304347826e+07,-9.020307922e+01,
+1.326086957e+07,-9.312545013e+01,
+1.347826087e+07,-9.361146545e+01,
+1.369565217e+07,-9.549898529e+01,
+1.391304348e+07,-9.467513275e+01,
+1.413043478e+07,-9.409124756e+01,
+1.434782609e+07,-9.424909210e+01,
+1.456521739e+07,-9.349429321e+01,
+1.478260870e+07,-9.419545746e+01,
+1.500000000e+07,-9.078211212e+01,
+1.521739130e+07,-9.529952240e+01,
+1.543478261e+07,-9.437268066e+01,
+1.565217391e+07,-9.508291626e+01,
+1.586956522e+07,-8.881776428e+01,
+1.608695652e+07,-9.319755554e+01,
+1.630434783e+07,-9.538081360e+01,
+1.652173913e+07,-9.406845093e+01,
+1.673913043e+07,-9.485229492e+01,
+1.695652174e+07,-9.212770081e+01,
+1.717391304e+07,-9.252792358e+01,
+1.739130435e+07,-9.305602264e+01,
+1.760869565e+07,-9.395643616e+01,
+1.782608696e+07,-9.269833374e+01,
+1.804347826e+07,-9.435645294e+01,
+1.826086957e+07,-9.361487579e+01,
+1.847826087e+07,-9.226618195e+01,
+1.869565217e+07,-9.506992340e+01,
+1.891304348e+07,-9.318491364e+01,
+1.913043478e+07,-9.468705750e+01,
+1.934782609e+07,-9.319267273e+01,
+1.956521739e+07,-9.386693573e+01,
+1.978260870e+07,-9.340346527e+01,
+2.000000000e+07,-9.374965668e+01,
+2.021739130e+07,-9.345513153e+01,
+2.043478261e+07,-9.409299469e+01,
+2.065217391e+07,-9.138127136e+01,
+2.086956522e+07,-9.154101563e+01,
+2.108695652e+07,-9.083725739e+01,
+2.130434783e+07,-8.968468475e+01,
+2.152173913e+07,-8.865333557e+01,
+2.173913043e+07,-8.849009705e+01,
+2.195652174e+07,-9.052347565e+01,
+2.217391304e+07,-8.998383331e+01,
+2.239130435e+07,-9.087407684e+01,
+2.260869565e+07,-9.199605560e+01,
+2.282608696e+07,-9.299723816e+01,
+2.304347826e+07,-8.832858276e+01,
+2.326086957e+07,-9.309169769e+01,
+2.347826087e+07,-9.252314758e+01,
+2.369565217e+07,-9.385131836e+01,
+2.391304348e+07,-9.267620087e+01,
+2.413043478e+07,-9.305443573e+01,
+2.434782609e+07,-9.251116180e+01,
+2.456521739e+07,-9.455284882e+01,
+2.478260870e+07,-9.309964752e+01,
+2.500000000e+07,-9.361112976e+01,
+2.521739130e+07,-9.209770203e+01,
+2.543478261e+07,-9.457054901e+01,
+2.565217391e+07,-9.291892242e+01,
+2.586956522e+07,-9.330625153e+01,
+2.608695652e+07,-9.300852203e+01,
+2.630434783e+07,-9.265493011e+01,
+2.652173913e+07,-9.155898285e+01,
+2.673913043e+07,-9.325594330e+01,
+2.695652174e+07,-9.274916840e+01,
+2.717391304e+07,-8.955735016e+01,
+2.739130435e+07,-8.929692078e+01,
+2.760869565e+07,-9.353157806e+01,
+2.782608696e+07,-9.508892059e+01,
+2.804347826e+07,-9.242508698e+01,
+2.826086957e+07,-8.908941650e+01,
+2.847826087e+07,-8.828336334e+01,
+2.869565217e+07,-8.475207520e+01,
+2.891304348e+07,-9.232183075e+01,
+2.913043478e+07,-8.356997681e+01,
+2.934782609e+07,-8.916958618e+01,
+2.956521739e+07,-8.848428345e+01,
+2.978260870e+07,-9.015366364e+01,
+3.000000000e+07,-8.938851166e+01,
+3.021739130e+07,-9.558555603e+01,
+3.043478261e+07,-9.495948792e+01,
+3.065217391e+07,-9.332692719e+01,
+3.086956522e+07,-9.514678192e+01,
+3.108695652e+07,-9.328712463e+01,
+3.130434783e+07,-9.191804504e+01,
+3.152173913e+07,-9.005577850e+01,
+3.173913043e+07,-9.485525513e+01,
+3.195652174e+07,-8.922934723e+01,
+3.217391304e+07,-9.400666046e+01,
+3.239130435e+07,-9.312731934e+01,
+3.260869565e+07,-8.710265350e+01,
+3.282608696e+07,-8.842290497e+01,
+3.304347826e+07,-8.893947601e+01,
+3.326086957e+07,-9.034416199e+01,
+3.347826087e+07,-8.473158264e+01,
+3.369565217e+07,-9.227598572e+01,
+3.391304348e+07,-9.077883148e+01,
+3.413043478e+07,-8.402538300e+01,
+3.434782609e+07,-8.862281799e+01,
+3.456521739e+07,-8.239258575e+01,
+3.478260870e+07,-8.733350372e+01,
+3.500000000e+07,-8.632752991e+01,
+3.521739130e+07,-8.950859833e+01,
+3.543478261e+07,-8.453591919e+01,
+3.565217391e+07,-9.121697235e+01,
+3.586956522e+07,-9.151511383e+01,
+3.608695652e+07,-8.947765350e+01,
+3.630434783e+07,-9.423898315e+01,
+3.652173913e+07,-9.215555573e+01,
+3.673913043e+07,-9.299217224e+01,
+3.695652174e+07,-9.306841278e+01,
+3.717391304e+07,-9.345262909e+01,
+3.739130435e+07,-9.335303497e+01,
+3.760869565e+07,-9.068173981e+01,
+3.782608696e+07,-9.385617828e+01,
+3.804347826e+07,-9.443904114e+01,
+3.826086957e+07,-9.053015900e+01,
+3.847826087e+07,-9.421009064e+01,
+3.869565217e+07,-9.513935852e+01,
