Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
03:41:17 07.09.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),0.971373,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+1.000000000e+03,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-7.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Pos Peak,
Trace Data
+0.000000000e+00,-2.619523239e+01,
+2.173913043e+05,-8.244229126e+01,
+4.347826087e+05,-8.525927734e+01,
+6.521739130e+05,-9.185670471e+01,
+8.695652174e+05,-9.162445068e+01,
+1.086956522e+06,-9.661427307e+01,
+1.304347826e+06,-9.499459076e+01,
+1.521739130e+06,-7.417062378e+01,
+1.739130435e+06,-9.631885529e+01,
+1.956521739e+06,-9.748281860e+01,
+2.173913043e+06,-9.707897186e+01,
+2.391304348e+06,-9.747313690e+01,
+2.608695652e+06,-9.701282501e+01,
+2.826086957e+06,-8.289287567e+01,
+3.043478261e+06,-9.683107758e+01,
+3.260869565e+06,-9.462300110e+01,
+3.478260870e+06,-9.235532379e+01,
+3.695652174e+06,-9.374361420e+01,
+3.913043478e+06,-9.641126251e+01,
+4.130434783e+06,-9.708391571e+01,
+4.347826087e+06,-9.558061981e+01,
+4.565217391e+06,-9.593756866e+01,
+4.782608696e+06,-9.675089264e+01,
+5.000000000e+06,-9.389846039e+01,
+5.217391304e+06,-9.626405334e+01,
+5.434782609e+06,-9.536405182e+01,
+5.652173913e+06,-9.449169922e+01,
+5.869565217e+06,-9.397585297e+01,
+6.086956522e+06,-9.289365387e+01,
+6.304347826e+06,-9.578913116e+01,
+6.521739130e+06,-9.568988800e+01,
+6.739130435e+06,-8.304591370e+01,
+6.956521739e+06,-9.054922485e+01,
+7.173913043e+06,-9.400115967e+01,
+7.391304348e+06,-8.197180176e+01,
+7.608695652e+06,-9.253125763e+01,
+7.826086957e+06,-9.482778168e+01,
+8.043478261e+06,-9.416532135e+01,
+8.260869565e+06,-9.466521454e+01,
+8.478260870e+06,-9.379616547e+01,
+8.695652174e+06,-8.110485840e+01,
+8.913043478e+06,-8.245825958e+01,
+9.130434783e+06,-8.445319366e+01,
+9.347826087e+06,-8.452540588e+01,
+9.565217391e+06,-8.184192657e+01,
+9.782608696e+06,-9.398142242e+01,
+1.000000000e+07,-8.816932678e+01,
+1.021739130e+07,-8.947892761e+01,
+1.043478261e+07,-9.463625336e+01,
+1.065217391e+07,-9.385561371e+01,
+1.086956522e+07,-9.518689728e+01,
+1.108695652e+07,-9.473174286e+01,
+1.130434783e+07,-9.415048981e+01,
+1.152173913e+07,-9.199221039e+01,
+1.173913043e+07,-8.574803162e+01,
+1.195652174e+07,-8.212465668e+01,
+1.217391304e+07,-9.251692200e+01,
+1.239130435e+07,-9.531291199e+01,
+1.260869565e+07,-9.258530426e+01,
+1.282608696e+07,-9.484490967e+01,
+1.304347826e+07,-9.388002014e+01,
+1.326086957e+07,-9.295233917e+01,
+1.347826087e+07,-9.339576721e+01,
+1.369565217e+07,-8.745350647e+01,
+1.391304348e+07,-9.213153839e+01,
+1.413043478e+07,-8.781825256e+01,
+1.434782609e+07,-8.999994659e+01,
+1.456521739e+07,-9.170160675e+01,
+1.478260870e+07,-9.236516571e+01,
+1.500000000e+07,-9.391009521e+01,
+1.521739130e+07,-9.293301392e+01,
+1.543478261e+07,-9.458367157e+01,
+1.565217391e+07,-9.087642670e+01,
+1.586956522e+07,-9.120497894e+01,
+1.608695652e+07,-9.299111176e+01,
+1.630434783e+07,-9.180919647e+01,
+1.652173913e+07,-9.467134857e+01,
+1.673913043e+07,-9.348250580e+01,
+1.695652174e+07,-9.362720490e+01,
+1.717391304e+07,-9.347023773e+01,
+1.739130435e+07,-9.363021088e+01,
+1.760869565e+07,-8.981388855e+01,
+1.782608696e+07,-9.405544281e+01,
+1.804347826e+07,-9.294356537e+01,
+1.826086957e+07,-9.081633759e+01,
+1.847826087e+07,-8.407729340e+01,
+1.869565217e+07,-9.414092255e+01,
+1.891304348e+07,-9.564928436e+01,
+1.913043478e+07,-9.426039886e+01,
+1.934782609e+07,-9.308444214e+01,
+1.956521739e+07,-9.252241516e+01,
+1.978260870e+07,-9.263592529e+01,
+2.000000000e+07,-9.383594513e+01,
+2.021739130e+07,-9.143971252e+01,
+2.043478261e+07,-9.317563629e+01,
+2.065217391e+07,-9.342689514e+01,
+2.086956522e+07,-9.075081635e+01,
+2.108695652e+07,-8.948290253e+01,
+2.130434783e+07,-8.950966644e+01,
+2.152173913e+07,-8.974124908e+01,
+2.173913043e+07,-9.008419037e+01,
+2.195652174e+07,-9.233802032e+01,
+2.217391304e+07,-9.258350372e+01,
+2.239130435e+07,-9.073930359e+01,
+2.260869565e+07,-8.947732544e+01,
+2.282608696e+07,-8.936640167e+01,
+2.304347826e+07,-8.369707489e+01,
+2.326086957e+07,-9.325983429e+01,
+2.347826087e+07,-9.233021545e+01,
+2.369565217e+07,-9.190381622e+01,
+2.391304348e+07,-9.305551147e+01,
+2.413043478e+07,-9.267821503e+01,
+2.434782609e+07,-9.267647552e+01,
+2.456521739e+07,-9.505538940e+01,
+2.478260870e+07,-9.364592743e+01,
+2.500000000e+07,-9.393907928e+01,
+2.521739130e+07,-9.549686432e+01,
+2.543478261e+07,-9.544494629e+01,
+2.565217391e+07,-9.410350800e+01,
+2.586956522e+07,-9.173220062e+01,
+2.608695652e+07,-9.465390015e+01,
+2.630434783e+07,-9.379624176e+01,
+2.652173913e+07,-8.635955048e+01,
+2.673913043e+07,-9.226110077e+01,
+2.695652174e+07,-9.278269196e+01,
+2.717391304e+07,-8.936064148e+01,
+2.739130435e+07,-8.952413177e+01,
+2.760869565e+07,-9.240979767e+01,
+2.782608696e+07,-9.364981842e+01,
+2.804347826e+07,-8.892288971e+01,
+2.826086957e+07,-8.930769348e+01,
+2.847826087e+07,-8.601045990e+01,
+2.869565217e+07,-8.295587921e+01,
+2.891304348e+07,-8.680947876e+01,
+2.913043478e+07,-8.059037018e+01,
+2.934782609e+07,-8.888776398e+01,
+2.956521739e+07,-8.833927155e+01,
+2.978260870e+07,-8.978632355e+01,
+3.000000000e+07,-8.744586182e+01,
+3.021739130e+07,-9.375182343e+01,
+3.043478261e+07,-9.257237244e+01,
+3.065217391e+07,-8.847147369e+01,
+3.086956522e+07,-9.253093719e+01,
+3.108695652e+07,-9.315171051e+01,
+3.130434783e+07,-9.101730347e+01,
+3.152173913e+07,-9.261592102e+01,
+3.173913043e+07,-9.337340546e+01,
+3.195652174e+07,-9.474515533e+01,
+3.217391304e+07,-9.347428131e+01,
+3.239130435e+07,-9.151098633e+01,
+3.260869565e+07,-8.630821991e+01,
+3.282608696e+07,-8.763974762e+01,
+3.304347826e+07,-9.109499359e+01,
+3.326086957e+07,-9.045240021e+01,
+3.347826087e+07,-8.445513153e+01,
+3.369565217e+07,-8.960279083e+01,
+3.391304348e+07,-8.966897583e+01,
+3.413043478e+07,-8.483682251e+01,
+3.434782609e+07,-8.981780243e+01,
+3.456521739e+07,-8.263325500e+01,
+3.478260870e+07,-8.642469025e+01,
+3.500000000e+07,-8.730094910e+01,
+3.521739130e+07,-8.764023590e+01,
+3.543478261e+07,-8.625187683e+01,
+3.565217391e+07,-9.284531403e+01,
+3.586956522e+07,-9.360058594e+01,
+3.608695652e+07,-8.736289978e+01,
+3.630434783e+07,-9.289421844e+01,
+3.652173913e+07,-9.399269867e+01,
+3.673913043e+07,-9.397178650e+01,
+3.695652174e+07,-9.260269928e+01,
+3.717391304e+07,-9.001464844e+01,
+3.739130435e+07,-9.119661713e+01,
+3.760869565e+07,-8.936558533e+01,
+3.782608696e+07,-9.080648804e+01,
+3.804347826e+07,-9.212306976e+01,
+3.826086957e+07,-9.202103424e+01,
+3.847826087e+07,-9.524622345e+01,
+3.869565217e+07,-9.319229889e+01,
