Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
03:53:23 07.09.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),0.971373,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+1.000000000e+03,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-7.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Pos Peak,
Trace Data
+0.000000000e+00,-2.640358543e+01,
+2.173913043e+05,-8.320401764e+01,
+4.347826087e+05,-8.306163025e+01,
+6.521739130e+05,-9.097854614e+01,
+8.695652174e+05,-9.225198364e+01,
+1.086956522e+06,-9.689219666e+01,
+1.304347826e+06,-9.574938965e+01,
+1.521739130e+06,-7.150300598e+01,
+1.739130435e+06,-9.785670471e+01,
+1.956521739e+06,-9.233558655e+01,
+2.173913043e+06,-9.459104919e+01,
+2.391304348e+06,-9.467507935e+01,
+2.608695652e+06,-9.712839508e+01,
+2.826086957e+06,-9.656673431e+01,
+3.043478261e+06,-9.713748932e+01,
+3.260869565e+06,-9.515386200e+01,
+3.478260870e+06,-9.490111542e+01,
+3.695652174e+06,-9.361367035e+01,
+3.913043478e+06,-9.627447510e+01,
+4.130434783e+06,-9.544639587e+01,
+4.347826087e+06,-8.321415710e+01,
+4.565217391e+06,-9.495460510e+01,
+4.782608696e+06,-9.492919922e+01,
+5.000000000e+06,-9.509449768e+01,
+5.217391304e+06,-9.401883698e+01,
+5.434782609e+06,-9.442709351e+01,
+5.652173913e+06,-9.617602539e+01,
+5.869565217e+06,-8.162591553e+01,
+6.086956522e+06,-9.468365479e+01,
+6.304347826e+06,-9.301483917e+01,
+6.521739130e+06,-9.496240997e+01,
+6.739130435e+06,-9.615589905e+01,
+6.956521739e+06,-9.618722534e+01,
+7.173913043e+06,-9.393550110e+01,
+7.391304348e+06,-8.880412292e+01,
+7.608695652e+06,-9.488494873e+01,
+7.826086957e+06,-8.150151062e+01,
+8.043478261e+06,-8.838164520e+01,
+8.260869565e+06,-7.579911041e+01,
+8.478260870e+06,-9.454679871e+01,
+8.695652174e+06,-9.489100647e+01,
+8.913043478e+06,-9.421228790e+01,
+9.130434783e+06,-9.248332214e+01,
+9.347826087e+06,-9.428413391e+01,
+9.565217391e+06,-8.910058594e+01,
+9.782608696e+06,-8.507204437e+01,
+1.000000000e+07,-8.799698639e+01,
+1.021739130e+07,-8.312005615e+01,
+1.043478261e+07,-8.527202606e+01,
+1.065217391e+07,-9.266427612e+01,
+1.086956522e+07,-9.253048706e+01,
+1.108695652e+07,-8.316082764e+01,
+1.130434783e+07,-8.496784210e+01,
+1.152173913e+07,-8.293798065e+01,
+1.173913043e+07,-9.341855621e+01,
+1.195652174e+07,-9.624874115e+01,
+1.217391304e+07,-9.469263458e+01,
+1.239130435e+07,-9.342527771e+01,
+1.260869565e+07,-9.406607056e+01,
+1.282608696e+07,-9.420340729e+01,
+1.304347826e+07,-9.399564362e+01,
+1.326086957e+07,-9.310096741e+01,
+1.347826087e+07,-8.865586853e+01,
+1.369565217e+07,-9.311639404e+01,
+1.391304348e+07,-9.450305939e+01,
+1.413043478e+07,-9.531136322e+01,
+1.434782609e+07,-9.460791016e+01,
+1.456521739e+07,-9.503097534e+01,
+1.478260870e+07,-9.459484863e+01,
+1.500000000e+07,-9.052080536e+01,
+1.521739130e+07,-9.169698334e+01,
+1.543478261e+07,-9.352779388e+01,
+1.565217391e+07,-9.503616333e+01,
+1.586956522e+07,-9.504518890e+01,
+1.608695652e+07,-9.481769562e+01,
+1.630434783e+07,-9.520723724e+01,
+1.652173913e+07,-9.425228119e+01,
+1.673913043e+07,-9.274359131e+01,
+1.695652174e+07,-9.362179565e+01,
+1.717391304e+07,-9.163924408e+01,
+1.739130435e+07,-9.205116272e+01,
+1.760869565e+07,-9.289164734e+01,
+1.782608696e+07,-9.338690186e+01,
+1.804347826e+07,-9.363336182e+01,
+1.826086957e+07,-9.405821228e+01,
+1.847826087e+07,-9.438735199e+01,
+1.869565217e+07,-9.528122711e+01,
+1.891304348e+07,-9.333013153e+01,
+1.913043478e+07,-9.407240295e+01,
+1.934782609e+07,-9.420046997e+01,
+1.956521739e+07,-9.414249420e+01,
+1.978260870e+07,-9.345056152e+01,
+2.000000000e+07,-9.508010864e+01,
+2.021739130e+07,-9.317675781e+01,
+2.043478261e+07,-9.330757141e+01,
+2.065217391e+07,-9.380667114e+01,
+2.086956522e+07,-9.118289948e+01,
+2.108695652e+07,-8.983235931e+01,
+2.130434783e+07,-8.909811401e+01,
+2.152173913e+07,-8.646967316e+01,
+2.173913043e+07,-8.906924438e+01,
+2.195652174e+07,-9.211119080e+01,
+2.217391304e+07,-8.985172272e+01,
+2.239130435e+07,-9.111105347e+01,
+2.260869565e+07,-9.263687134e+01,
+2.282608696e+07,-9.225367737e+01,
+2.304347826e+07,-9.128787231e+01,
+2.326086957e+07,-9.326596832e+01,
+2.347826087e+07,-9.349011993e+01,
+2.369565217e+07,-9.441462708e+01,
+2.391304348e+07,-9.349543762e+01,
+2.413043478e+07,-9.315568542e+01,
+2.434782609e+07,-9.354450989e+01,
+2.456521739e+07,-9.401266479e+01,
+2.478260870e+07,-9.468925476e+01,
+2.500000000e+07,-9.436459351e+01,
+2.521739130e+07,-9.481733704e+01,
+2.543478261e+07,-9.313163757e+01,
+2.565217391e+07,-9.328191376e+01,
+2.586956522e+07,-9.588492584e+01,
+2.608695652e+07,-9.420163727e+01,
+2.630434783e+07,-9.397412872e+01,
+2.652173913e+07,-9.461450958e+01,
+2.673913043e+07,-9.414341736e+01,
+2.695652174e+07,-9.512575531e+01,
+2.717391304e+07,-9.435175323e+01,
+2.739130435e+07,-9.422549438e+01,
+2.760869565e+07,-9.373343658e+01,
+2.782608696e+07,-9.408422089e+01,
+2.804347826e+07,-9.409588623e+01,
+2.826086957e+07,-9.214706421e+01,
+2.847826087e+07,-9.364476013e+01,
+2.869565217e+07,-9.399562073e+01,
+2.891304348e+07,-9.360187531e+01,
+2.913043478e+07,-9.362368774e+01,
+2.934782609e+07,-9.545712280e+01,
+2.956521739e+07,-9.307511902e+01,
+2.978260870e+07,-9.417544556e+01,
+3.000000000e+07,-9.585758209e+01,
+3.021739130e+07,-9.457342529e+01,
+3.043478261e+07,-9.452655029e+01,
+3.065217391e+07,-8.741665649e+01,
+3.086956522e+07,-9.347074890e+01,
+3.108695652e+07,-9.567951965e+01,
+3.130434783e+07,-9.513400269e+01,
+3.152173913e+07,-9.617419434e+01,
+3.173913043e+07,-9.578320313e+01,
+3.195652174e+07,-9.449836731e+01,
+3.217391304e+07,-9.459547424e+01,
+3.239130435e+07,-9.454736328e+01,
+3.260869565e+07,-9.349938202e+01,
+3.282608696e+07,-9.546067047e+01,
+3.304347826e+07,-9.395333862e+01,
+3.326086957e+07,-9.456336975e+01,
+3.347826087e+07,-9.500212860e+01,
+3.369565217e+07,-9.447737122e+01,
+3.391304348e+07,-9.514371490e+01,
+3.413043478e+07,-9.363016510e+01,
+3.434782609e+07,-9.325550079e+01,
+3.456521739e+07,-9.394422913e+01,
+3.478260870e+07,-9.437106323e+01,
+3.500000000e+07,-9.251075745e+01,
+3.521739130e+07,-9.381652069e+01,
+3.543478261e+07,-9.403579712e+01,
+3.565217391e+07,-9.591082764e+01,
+3.586956522e+07,-9.253690338e+01,
+3.608695652e+07,-9.391716766e+01,
+3.630434783e+07,-9.420484161e+01,
+3.652173913e+07,-9.501055908e+01,
+3.673913043e+07,-9.434278107e+01,
+3.695652174e+07,-9.550084686e+01,
+3.717391304e+07,-9.388372803e+01,
+3.739130435e+07,-9.297037506e+01,
+3.760869565e+07,-9.473322296e+01,
+3.782608696e+07,-9.477429199e+01,
+3.804347826e+07,-9.368395996e+01,
+3.826086957e+07,-9.571937561e+01,
+3.847826087e+07,-9.392712402e+01,
+3.869565217e+07,-9.655650330e+01,
