Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
03:48:05 07.09.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),0.971373,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+1.000000000e+03,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-7.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Pos Peak,
Trace Data
+0.000000000e+00,-2.628720284e+01,
+2.173913043e+05,-8.302611542e+01,
+4.347826087e+05,-8.348800659e+01,
+6.521739130e+05,-9.234902954e+01,
+8.695652174e+05,-9.604518127e+01,
+1.086956522e+06,-9.672671509e+01,
+1.304347826e+06,-9.486367798e+01,
+1.521739130e+06,-7.297978210e+01,
+1.739130435e+06,-9.589257050e+01,
+1.956521739e+06,-9.597962189e+01,
+2.173913043e+06,-9.622860718e+01,
+2.391304348e+06,-9.673358154e+01,
+2.608695652e+06,-9.627385712e+01,
+2.826086957e+06,-9.419096375e+01,
+3.043478261e+06,-9.716604614e+01,
+3.260869565e+06,-9.623234558e+01,
+3.478260870e+06,-9.445268250e+01,
+3.695652174e+06,-9.522167969e+01,
+3.913043478e+06,-9.516396332e+01,
+4.130434783e+06,-9.596027374e+01,
+4.347826087e+06,-9.484165192e+01,
+4.565217391e+06,-9.619139862e+01,
+4.782608696e+06,-9.424949646e+01,
+5.000000000e+06,-9.586398315e+01,
+5.217391304e+06,-8.183332062e+01,
+5.434782609e+06,-9.460541534e+01,
+5.652173913e+06,-9.635468292e+01,
+5.869565217e+06,-9.779294586e+01,
+6.086956522e+06,-9.464762878e+01,
+6.304347826e+06,-9.584044647e+01,
+6.521739130e+06,-9.568719482e+01,
+6.739130435e+06,-9.365960693e+01,
+6.956521739e+06,-9.431316376e+01,
+7.173913043e+06,-9.539878845e+01,
+7.391304348e+06,-8.099930573e+01,
+7.608695652e+06,-8.525565338e+01,
+7.826086957e+06,-9.123472595e+01,
+8.043478261e+06,-9.364971924e+01,
+8.260869565e+06,-8.404767609e+01,
+8.478260870e+06,-9.467348480e+01,
+8.695652174e+06,-9.406541443e+01,
+8.913043478e+06,-9.474949646e+01,
+9.130434783e+06,-8.224696350e+01,
+9.347826087e+06,-8.845623016e+01,
+9.565217391e+06,-9.310768127e+01,
+9.782608696e+06,-9.277198792e+01,
+1.000000000e+07,-9.207754517e+01,
+1.021739130e+07,-8.863507080e+01,
+1.043478261e+07,-7.564467621e+01,
+1.065217391e+07,-8.925012207e+01,
+1.086956522e+07,-8.446278381e+01,
+1.108695652e+07,-9.412249756e+01,
+1.130434783e+07,-9.460478973e+01,
+1.152173913e+07,-9.443923187e+01,
+1.173913043e+07,-9.524474335e+01,
+1.195652174e+07,-9.229727936e+01,
+1.217391304e+07,-9.437596130e+01,
+1.239130435e+07,-9.013626099e+01,
+1.260869565e+07,-8.526908875e+01,
+1.282608696e+07,-8.267010498e+01,
+1.304347826e+07,-9.554930115e+01,
+1.326086957e+07,-9.456105042e+01,
+1.347826087e+07,-9.297724915e+01,
+1.369565217e+07,-9.243637848e+01,
+1.391304348e+07,-9.411405182e+01,
+1.413043478e+07,-9.417109680e+01,
+1.434782609e+07,-8.725251770e+01,
+1.456521739e+07,-9.393846130e+01,
+1.478260870e+07,-9.100445557e+01,
+1.500000000e+07,-9.196475983e+01,
+1.521739130e+07,-9.242423248e+01,
+1.543478261e+07,-8.588001251e+01,
+1.565217391e+07,-9.298445129e+01,
+1.586956522e+07,-9.461840820e+01,
+1.608695652e+07,-9.515729523e+01,
+1.630434783e+07,-9.220583344e+01,
+1.652173913e+07,-9.324346924e+01,
+1.673913043e+07,-9.278226471e+01,
+1.695652174e+07,-9.056958771e+01,
+1.717391304e+07,-8.808876038e+01,
+1.739130435e+07,-9.419081879e+01,
+1.760869565e+07,-9.368241882e+01,
+1.782608696e+07,-9.393183899e+01,
+1.804347826e+07,-9.351156616e+01,
+1.826086957e+07,-9.404066467e+01,
+1.847826087e+07,-8.579159546e+01,
+1.869565217e+07,-9.382144928e+01,
+1.891304348e+07,-9.413375854e+01,
+1.913043478e+07,-9.305856323e+01,
+1.934782609e+07,-9.388613129e+01,
+1.956521739e+07,-9.352416992e+01,
+1.978260870e+07,-9.429882050e+01,
+2.000000000e+07,-9.421787262e+01,
+2.021739130e+07,-9.445423126e+01,
+2.043478261e+07,-9.125689697e+01,
+2.065217391e+07,-9.257112885e+01,
+2.086956522e+07,-8.998700714e+01,
+2.108695652e+07,-9.086497498e+01,
+2.130434783e+07,-9.032940674e+01,
+2.152173913e+07,-8.951260376e+01,
+2.173913043e+07,-9.055167389e+01,
+2.195652174e+07,-9.118540192e+01,
+2.217391304e+07,-9.183285522e+01,
+2.239130435e+07,-9.041461182e+01,
+2.260869565e+07,-9.094371033e+01,
+2.282608696e+07,-9.473055267e+01,
+2.304347826e+07,-9.247754669e+01,
+2.326086957e+07,-9.207659912e+01,
+2.347826087e+07,-9.323435974e+01,
+2.369565217e+07,-9.276129150e+01,
+2.391304348e+07,-9.307290649e+01,
+2.413043478e+07,-9.309359741e+01,
+2.434782609e+07,-9.250748444e+01,
+2.456521739e+07,-9.418652344e+01,
+2.478260870e+07,-9.388159180e+01,
+2.500000000e+07,-9.343009186e+01,
+2.521739130e+07,-9.396089935e+01,
+2.543478261e+07,-9.358027649e+01,
+2.565217391e+07,-9.292651367e+01,
+2.586956522e+07,-9.348297119e+01,
+2.608695652e+07,-9.410489655e+01,
+2.630434783e+07,-9.342002106e+01,
+2.652173913e+07,-9.472434998e+01,
+2.673913043e+07,-9.496179962e+01,
+2.695652174e+07,-9.223890686e+01,
+2.717391304e+07,-9.459013367e+01,
+2.739130435e+07,-9.221896362e+01,
+2.760869565e+07,-9.345823669e+01,
+2.782608696e+07,-9.451939392e+01,
+2.804347826e+07,-9.339749146e+01,
+2.826086957e+07,-9.303013611e+01,
+2.847826087e+07,-9.306358337e+01,
+2.869565217e+07,-9.357214355e+01,
+2.891304348e+07,-9.515676880e+01,
+2.913043478e+07,-9.260955048e+01,
+2.934782609e+07,-9.545630646e+01,
+2.956521739e+07,-9.310065460e+01,
+2.978260870e+07,-9.402078247e+01,
+3.000000000e+07,-9.510952759e+01,
+3.021739130e+07,-9.549449158e+01,
+3.043478261e+07,-9.564289856e+01,
+3.065217391e+07,-8.931621552e+01,
+3.086956522e+07,-9.433450317e+01,
+3.108695652e+07,-9.509107208e+01,
+3.130434783e+07,-9.562706757e+01,
+3.152173913e+07,-9.383344269e+01,
+3.173913043e+07,-9.504686737e+01,
+3.195652174e+07,-9.525257111e+01,
+3.217391304e+07,-9.535870361e+01,
+3.239130435e+07,-9.570193481e+01,
+3.260869565e+07,-9.476946259e+01,
+3.282608696e+07,-9.611917114e+01,
+3.304347826e+07,-9.572460938e+01,
+3.326086957e+07,-9.477667999e+01,
+3.347826087e+07,-9.512352753e+01,
+3.369565217e+07,-9.568712616e+01,
+3.391304348e+07,-9.468251038e+01,
+3.413043478e+07,-9.492443085e+01,
+3.434782609e+07,-9.463124847e+01,
+3.456521739e+07,-9.568613434e+01,
+3.478260870e+07,-8.571128845e+01,
+3.500000000e+07,-9.411041260e+01,
+3.521739130e+07,-9.300109100e+01,
+3.543478261e+07,-9.405789948e+01,
+3.565217391e+07,-9.601427460e+01,
+3.586956522e+07,-9.460720825e+01,
+3.608695652e+07,-9.261824799e+01,
+3.630434783e+07,-9.430046844e+01,
+3.652173913e+07,-9.652672577e+01,
+3.673913043e+07,-9.462322235e+01,
+3.695652174e+07,-9.515530396e+01,
+3.717391304e+07,-9.549799347e+01,
+3.739130435e+07,-9.597869110e+01,
+3.760869565e+07,-9.348270416e+01,
+3.782608696e+07,-9.445178223e+01,
+3.804347826e+07,-9.451483154e+01,
+3.826086957e+07,-9.547930908e+01,
+3.847826087e+07,-9.492928314e+01,
+3.869565217e+07,-9.436689758e+01,
