Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
03:33:46 07.26.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),1.005100,MAN
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+06,MAN
VBW,+1.000000000e+06,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-5.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,5.00 MHz,-74.59 dBm
M2,1,Frequency,10.00 MHz,-75.33 dBm
M3,1,Frequency,20.00 MHz,-77.76 dBm
M4,1,Frequency,30.00 MHz,-78.61 dBm
M5,1,Frequency,40.00 MHz,-78.72 dBm
M6,1,Frequency,50.00 MHz,-78.67 dBm
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,20,
Trace Type,Clear Write,
Trace Detector,Pos Peak,
Trace Data
+0.000000000e+00,-9.548990250e+00,
+2.173913043e+05,-2.494914627e+01,
+4.347826087e+05,-2.691415977e+01,
+6.521739130e+05,-2.946033859e+01,
+8.695652174e+05,-3.256246185e+01,
+1.086956522e+06,-3.721241760e+01,
+1.304347826e+06,-4.180790710e+01,
+1.521739130e+06,-4.815679550e+01,
+1.739130435e+06,-5.524001312e+01,
+1.956521739e+06,-6.147556305e+01,
+2.173913043e+06,-6.630780029e+01,
+2.391304348e+06,-6.895461273e+01,
+2.608695652e+06,-7.046597290e+01,
+2.826086957e+06,-7.170633698e+01,
+3.043478261e+06,-7.232197571e+01,
+3.260869565e+06,-7.269103241e+01,
+3.478260870e+06,-7.283088684e+01,
+3.695652174e+06,-7.396549988e+01,
+3.913043478e+06,-7.353160095e+01,
+4.130434783e+06,-7.420468903e+01,
+4.347826087e+06,-7.435300446e+01,
+4.565217391e+06,-7.429949188e+01,
+4.782608696e+06,-7.454064941e+01,
+5.000000000e+06,-7.459401703e+01,
+5.217391304e+06,-7.414774323e+01,
+5.434782609e+06,-7.445963287e+01,
+5.652173913e+06,-7.480805969e+01,
+5.869565217e+06,-7.453493500e+01,
+6.086956522e+06,-7.474878693e+01,
+6.304347826e+06,-7.451276398e+01,
+6.521739130e+06,-7.452786255e+01,
+6.739130435e+06,-7.468737793e+01,
+6.956521739e+06,-7.456982422e+01,
+7.173913043e+06,-7.503321838e+01,
+7.391304348e+06,-7.465328979e+01,
+7.608695652e+06,-7.507392120e+01,
+7.826086957e+06,-7.494918060e+01,
+8.043478261e+06,-7.485164642e+01,
+8.260869565e+06,-7.473872375e+01,
+8.478260870e+06,-7.496685028e+01,
+8.695652174e+06,-7.486399078e+01,
+8.913043478e+06,-7.475965118e+01,
+9.130434783e+06,-7.525319672e+01,
+9.347826087e+06,-7.538775635e+01,
+9.565217391e+06,-7.519943237e+01,
+9.782608696e+06,-7.574420166e+01,
+1.000000000e+07,-7.532795715e+01,
+1.021739130e+07,-7.656532288e+01,
+1.043478261e+07,-7.655113983e+01,
+1.065217391e+07,-7.647023010e+01,
+1.086956522e+07,-7.697750092e+01,
+1.108695652e+07,-7.678096771e+01,
+1.130434783e+07,-7.684364319e+01,
+1.152173913e+07,-7.669599915e+01,
+1.173913043e+07,-7.698752594e+01,
+1.195652174e+07,-7.689480591e+01,
+1.217391304e+07,-7.694660187e+01,
+1.239130435e+07,-7.722843170e+01,
+1.260869565e+07,-7.720832825e+01,
+1.282608696e+07,-7.711659241e+01,
+1.304347826e+07,-7.704314423e+01,
+1.326086957e+07,-7.689573669e+01,
+1.347826087e+07,-7.690852356e+01,
+1.369565217e+07,-7.705066681e+01,
+1.391304348e+07,-7.707762909e+01,
+1.413043478e+07,-7.710843658e+01,
+1.434782609e+07,-7.722573090e+01,
+1.456521739e+07,-7.735496521e+01,
+1.478260870e+07,-7.739427185e+01,
+1.500000000e+07,-7.722029114e+01,
+1.521739130e+07,-7.716282654e+01,
+1.543478261e+07,-7.756842804e+01,
+1.565217391e+07,-7.757882690e+01,
+1.586956522e+07,-7.738514709e+01,
+1.608695652e+07,-7.765159607e+01,
+1.630434783e+07,-7.781615448e+01,
+1.652173913e+07,-7.775032806e+01,
+1.673913043e+07,-7.786872864e+01,
+1.695652174e+07,-7.756952667e+01,
+1.717391304e+07,-7.771066284e+01,
+1.739130435e+07,-7.762821198e+01,
+1.760869565e+07,-7.763850403e+01,
+1.782608696e+07,-7.785438538e+01,
+1.804347826e+07,-7.825935364e+01,
+1.826086957e+07,-7.756855011e+01,
+1.847826087e+07,-7.798587799e+01,
+1.869565217e+07,-7.816062164e+01,
+1.891304348e+07,-7.797393799e+01,
+1.913043478e+07,-7.800693512e+01,
+1.934782609e+07,-7.788309479e+01,
+1.956521739e+07,-7.809677887e+01,
+1.978260870e+07,-7.830631256e+01,
+2.000000000e+07,-7.775535583e+01,
+2.021739130e+07,-7.799720764e+01,
+2.043478261e+07,-7.818277740e+01,
+2.065217391e+07,-7.807286835e+01,
+2.086956522e+07,-7.808405304e+01,
+2.108695652e+07,-7.799714661e+01,
+2.130434783e+07,-7.784609222e+01,
+2.152173913e+07,-7.817076111e+01,
+2.173913043e+07,-7.815551758e+01,
+2.195652174e+07,-7.829817200e+01,
+2.217391304e+07,-7.814736176e+01,
+2.239130435e+07,-7.794135284e+01,
+2.260869565e+07,-7.830283356e+01,
+2.282608696e+07,-7.847504425e+01,
+2.304347826e+07,-7.851604462e+01,
+2.326086957e+07,-7.828145599e+01,
+2.347826087e+07,-7.834938049e+01,
+2.369565217e+07,-7.857229614e+01,
+2.391304348e+07,-7.863018799e+01,
+2.413043478e+07,-7.824105072e+01,
+2.434782609e+07,-7.837250519e+01,
+2.456521739e+07,-7.836398315e+01,
+2.478260870e+07,-7.818020630e+01,
+2.500000000e+07,-7.853676605e+01,
+2.521739130e+07,-7.842024231e+01,
+2.543478261e+07,-7.856081390e+01,
+2.565217391e+07,-7.824311829e+01,
+2.586956522e+07,-7.866204071e+01,
+2.608695652e+07,-7.862534332e+01,
+2.630434783e+07,-7.819421387e+01,
+2.652173913e+07,-7.791481018e+01,
+2.673913043e+07,-7.840096283e+01,
+2.695652174e+07,-7.818815613e+01,
+2.717391304e+07,-7.812855530e+01,
+2.739130435e+07,-7.780274963e+01,
+2.760869565e+07,-7.806587219e+01,
+2.782608696e+07,-7.744989014e+01,
+2.804347826e+07,-7.811574554e+01,
+2.826086957e+07,-7.837956238e+01,
+2.847826087e+07,-7.846944427e+01,
+2.869565217e+07,-7.844753265e+01,
+2.891304348e+07,-7.848365021e+01,
+2.913043478e+07,-7.860284424e+01,
+2.934782609e+07,-7.835287476e+01,
+2.956521739e+07,-7.866352081e+01,
+2.978260870e+07,-7.844224548e+01,
+3.000000000e+07,-7.861341858e+01,
+3.021739130e+07,-7.886814117e+01,
+3.043478261e+07,-7.840711975e+01,
+3.065217391e+07,-7.854485321e+01,
+3.086956522e+07,-7.888662720e+01,
+3.108695652e+07,-7.908280945e+01,
+3.130434783e+07,-7.861366272e+01,
+3.152173913e+07,-7.871907043e+01,
+3.173913043e+07,-7.867454529e+01,
+3.195652174e+07,-7.893816376e+01,
+3.217391304e+07,-7.883670807e+01,
+3.239130435e+07,-7.861413574e+01,
+3.260869565e+07,-7.872581482e+01,
+3.282608696e+07,-7.873363495e+01,
+3.304347826e+07,-7.897394562e+01,
+3.326086957e+07,-7.863353729e+01,
+3.347826087e+07,-7.851970673e+01,
+3.369565217e+07,-7.911206818e+01,
+3.391304348e+07,-7.857315826e+01,
+3.413043478e+07,-7.849195099e+01,
+3.434782609e+07,-7.875276947e+01,
+3.456521739e+07,-7.803063202e+01,
+3.478260870e+07,-7.827902222e+01,
+3.500000000e+07,-7.807861328e+01,
+3.521739130e+07,-7.793622589e+01,
+3.543478261e+07,-7.822713470e+01,
+3.565217391e+07,-7.815772247e+01,
+3.586956522e+07,-7.802901459e+01,
+3.608695652e+07,-7.787907410e+01,
+3.630434783e+07,-7.780606842e+01,
+3.652173913e+07,-7.796614075e+01,
+3.673913043e+07,-7.846665955e+01,
