Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
03:34:48 07.26.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),1.005100,MAN
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+06,MAN
VBW,+1.000000000e+06,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-5.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,5.00 MHz,-63.29 dBm
M2,1,Frequency,10.00 MHz,-63.77 dBm
M3,1,Frequency,20.00 MHz,-65.60 dBm
M4,1,Frequency,30.00 MHz,-66.75 dBm
M5,1,Frequency,40.00 MHz,-67.08 dBm
M6,1,Frequency,50.00 MHz,-67.27 dBm
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,20,
Trace Type,Clear Write,
Trace Detector,Pos Peak,
Trace Data
+0.000000000e+00,-9.845495224e+00,
+2.173913043e+05,-2.506518364e+01,
+4.347826087e+05,-2.712804222e+01,
+6.521739130e+05,-2.937603188e+01,
+8.695652174e+05,-3.274819183e+01,
+1.086956522e+06,-3.685454559e+01,
+1.304347826e+06,-4.200959015e+01,
+1.521739130e+06,-4.810036850e+01,
+1.739130435e+06,-5.468324661e+01,
+1.956521739e+06,-5.991482544e+01,
+2.173913043e+06,-6.243424606e+01,
+2.391304348e+06,-6.338838577e+01,
+2.608695652e+06,-6.344191360e+01,
+2.826086957e+06,-6.335597992e+01,
+3.043478261e+06,-6.303984451e+01,
+3.260869565e+06,-6.322423172e+01,
+3.478260870e+06,-6.323137283e+01,
+3.695652174e+06,-6.335509491e+01,
+3.913043478e+06,-6.324288940e+01,
+4.130434783e+06,-6.352315140e+01,
+4.347826087e+06,-6.344902420e+01,
+4.565217391e+06,-6.336202240e+01,
+4.782608696e+06,-6.334272003e+01,
+5.000000000e+06,-6.328521729e+01,
+5.217391304e+06,-6.336400223e+01,
+5.434782609e+06,-6.347591019e+01,
+5.652173913e+06,-6.333795166e+01,
+5.869565217e+06,-6.335605621e+01,
+6.086956522e+06,-6.293485260e+01,
+6.304347826e+06,-6.348979568e+01,
+6.521739130e+06,-6.343122101e+01,
+6.739130435e+06,-6.324826813e+01,
+6.956521739e+06,-6.353461838e+01,
+7.173913043e+06,-6.352394867e+01,
+7.391304348e+06,-6.339826584e+01,
+7.608695652e+06,-6.347810745e+01,
+7.826086957e+06,-6.336922073e+01,
+8.043478261e+06,-6.373233032e+01,
+8.260869565e+06,-6.373381424e+01,
+8.478260870e+06,-6.373450470e+01,
+8.695652174e+06,-6.379221344e+01,
+8.913043478e+06,-6.378843307e+01,
+9.130434783e+06,-6.350579834e+01,
+9.347826087e+06,-6.376276398e+01,
+9.565217391e+06,-6.406635284e+01,
+9.782608696e+06,-6.393551636e+01,
+1.000000000e+07,-6.376541901e+01,
+1.021739130e+07,-6.419493866e+01,
+1.043478261e+07,-6.421064758e+01,
+1.065217391e+07,-6.411586761e+01,
+1.086956522e+07,-6.427188873e+01,
+1.108695652e+07,-6.428871155e+01,
+1.130434783e+07,-6.429612732e+01,
+1.152173913e+07,-6.419242859e+01,
+1.173913043e+07,-6.432205963e+01,
+1.195652174e+07,-6.410197449e+01,
+1.217391304e+07,-6.431993103e+01,
+1.239130435e+07,-6.434104919e+01,
+1.260869565e+07,-6.417693329e+01,
+1.282608696e+07,-6.465438843e+01,
+1.304347826e+07,-6.421204376e+01,
+1.326086957e+07,-6.469147491e+01,
+1.347826087e+07,-6.406430817e+01,
+1.369565217e+07,-6.460560608e+01,
+1.391304348e+07,-6.491722107e+01,
+1.413043478e+07,-6.467526245e+01,
+1.434782609e+07,-6.490309906e+01,
+1.456521739e+07,-6.445183563e+01,
+1.478260870e+07,-6.476845551e+01,
+1.500000000e+07,-6.513426208e+01,
+1.521739130e+07,-6.465061951e+01,
+1.543478261e+07,-6.494282532e+01,
+1.565217391e+07,-6.485034180e+01,
+1.586956522e+07,-6.530078125e+01,
+1.608695652e+07,-6.528037262e+01,
+1.630434783e+07,-6.500614166e+01,
+1.652173913e+07,-6.502968597e+01,
+1.673913043e+07,-6.440567017e+01,
+1.695652174e+07,-6.485667419e+01,
+1.717391304e+07,-6.545557404e+01,
+1.739130435e+07,-6.520677185e+01,
+1.760869565e+07,-6.522363281e+01,
+1.782608696e+07,-6.522496033e+01,
+1.804347826e+07,-6.539225769e+01,
+1.826086957e+07,-6.549855042e+01,
+1.847826087e+07,-6.568551636e+01,
+1.869565217e+07,-6.514342499e+01,
+1.891304348e+07,-6.532246399e+01,
+1.913043478e+07,-6.555330658e+01,
+1.934782609e+07,-6.552861023e+01,
+1.956521739e+07,-6.556215668e+01,
+1.978260870e+07,-6.583811188e+01,
+2.000000000e+07,-6.559509277e+01,
+2.021739130e+07,-6.551499939e+01,
+2.043478261e+07,-6.541235352e+01,
+2.065217391e+07,-6.546208191e+01,
+2.086956522e+07,-6.561118317e+01,
+2.108695652e+07,-6.571412659e+01,
+2.130434783e+07,-6.541144562e+01,
+2.152173913e+07,-6.545100403e+01,
+2.173913043e+07,-6.587503815e+01,
+2.195652174e+07,-6.576066589e+01,
+2.217391304e+07,-6.550006866e+01,
+2.239130435e+07,-6.542559052e+01,
+2.260869565e+07,-6.588945007e+01,
+2.282608696e+07,-6.577603149e+01,
+2.304347826e+07,-6.567669678e+01,
+2.326086957e+07,-6.579103851e+01,
+2.347826087e+07,-6.596498108e+01,
+2.369565217e+07,-6.576455688e+01,
+2.391304348e+07,-6.570027924e+01,
+2.413043478e+07,-6.590730286e+01,
+2.434782609e+07,-6.612522888e+01,
+2.456521739e+07,-6.626197052e+01,
+2.478260870e+07,-6.606532288e+01,
+2.500000000e+07,-6.624653625e+01,
+2.521739130e+07,-6.592622375e+01,
+2.543478261e+07,-6.600288391e+01,
+2.565217391e+07,-6.603842926e+01,
+2.586956522e+07,-6.620738220e+01,
+2.608695652e+07,-6.638607788e+01,
+2.630434783e+07,-6.630539703e+01,
+2.652173913e+07,-6.607356262e+01,
+2.673913043e+07,-6.619848633e+01,
+2.695652174e+07,-6.572183228e+01,
+2.717391304e+07,-6.628623199e+01,
+2.739130435e+07,-6.601473999e+01,
+2.760869565e+07,-6.648981476e+01,
+2.782608696e+07,-6.623976135e+01,
+2.804347826e+07,-6.583197784e+01,
+2.826086957e+07,-6.635977936e+01,
+2.847826087e+07,-6.619267273e+01,
+2.869565217e+07,-6.641236877e+01,
+2.891304348e+07,-6.615473938e+01,
+2.913043478e+07,-6.628590393e+01,
+2.934782609e+07,-6.661265564e+01,
+2.956521739e+07,-6.618141174e+01,
+2.978260870e+07,-6.649058533e+01,
+3.000000000e+07,-6.675209045e+01,
+3.021739130e+07,-6.637861633e+01,
+3.043478261e+07,-6.652503967e+01,
+3.065217391e+07,-6.651228333e+01,
+3.086956522e+07,-6.665511322e+01,
+3.108695652e+07,-6.672652435e+01,
+3.130434783e+07,-6.650965881e+01,
+3.152173913e+07,-6.671929932e+01,
+3.173913043e+07,-6.637837219e+01,
+3.195652174e+07,-6.606581116e+01,
+3.217391304e+07,-6.653588104e+01,
+3.239130435e+07,-6.649754333e+01,
+3.260869565e+07,-6.664421082e+01,
+3.282608696e+07,-6.659857178e+01,
+3.304347826e+07,-6.671282196e+01,
+3.326086957e+07,-6.705179596e+01,
+3.347826087e+07,-6.665854645e+01,
+3.369565217e+07,-6.668180847e+01,
+3.391304348e+07,-6.650458527e+01,
+3.413043478e+07,-6.687486267e+01,
+3.434782609e+07,-6.634727478e+01,
+3.456521739e+07,-6.691600037e+01,
+3.478260870e+07,-6.672566986e+01,
+3.500000000e+07,-6.666804504e+01,
+3.521739130e+07,-6.673422241e+01,
+3.543478261e+07,-6.685020447e+01,
+3.565217391e+07,-6.680067444e+01,
+3.586956522e+07,-6.673435974e+01,
+3.608695652e+07,-6.666287994e+01,
+3.630434783e+07,-6.665653992e+01,
+3.652173913e+07,-6.678584290e+01,
+3.673913043e+07,-6.656049347e+01,
