Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
17:34:26 07.26.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),0.022495,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+06,AUTO
VBW,+1.000000000e+06,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-5.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+6.000000000e-06,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+1.400000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,5.00 MHz,-73.62 dBm
M2,1,Frequency,10.00 MHz,-73.80 dBm
M3,1,Frequency,20.00 MHz,-75.31 dBm
M4,1,Frequency,30.00 MHz,-76.29 dBm
M5,1,Frequency,40.00 MHz,-77.58 dBm
M6,1,Frequency,50.00 MHz,-81.59 dBm
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,100,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,-1.177854729e+01,
+2.173913043e+05,-2.778140068e+01,
+4.347826087e+05,-2.983842278e+01,
+6.521739130e+05,-3.283564758e+01,
+8.695652174e+05,-3.693386459e+01,
+1.086956522e+06,-4.208266068e+01,
+1.304347826e+06,-4.834825134e+01,
+1.521739130e+06,-5.562467194e+01,
+1.739130435e+06,-6.468240356e+01,
+1.956521739e+06,-7.345573425e+01,
+2.173913043e+06,-7.379024506e+01,
+2.391304348e+06,-7.424423218e+01,
+2.608695652e+06,-7.433145905e+01,
+2.826086957e+06,-7.344249725e+01,
+3.043478261e+06,-7.434626770e+01,
+3.260869565e+06,-7.416152191e+01,
+3.478260870e+06,-7.421049500e+01,
+3.695652174e+06,-7.396347809e+01,
+3.913043478e+06,-7.364768219e+01,
+4.130434783e+06,-7.349416351e+01,
+4.347826087e+06,-7.401419067e+01,
+4.565217391e+06,-7.434631348e+01,
+4.782608696e+06,-7.389756775e+01,
+5.000000000e+06,-7.362255096e+01,
+5.217391304e+06,-7.364520264e+01,
+5.434782609e+06,-7.424021149e+01,
+5.652173913e+06,-7.428757477e+01,
+5.869565217e+06,-7.422165680e+01,
+6.086956522e+06,-7.386027527e+01,
+6.304347826e+06,-7.436806488e+01,
+6.521739130e+06,-7.445485687e+01,
+6.739130435e+06,-7.431987762e+01,
+6.956521739e+06,-7.454006195e+01,
+7.173913043e+06,-7.407333374e+01,
+7.391304348e+06,-7.398855591e+01,
+7.608695652e+06,-7.429673767e+01,
+7.826086957e+06,-7.421836090e+01,
+8.043478261e+06,-7.444480896e+01,
+8.260869565e+06,-7.463095093e+01,
+8.478260870e+06,-7.454969788e+01,
+8.695652174e+06,-7.420026398e+01,
+8.913043478e+06,-7.480176544e+01,
+9.130434783e+06,-7.413732910e+01,
+9.347826087e+06,-7.363383484e+01,
+9.565217391e+06,-7.358288574e+01,
+9.782608696e+06,-7.443647766e+01,
+1.000000000e+07,-7.380394745e+01,
+1.021739130e+07,-7.378018188e+01,
+1.043478261e+07,-7.467185211e+01,
+1.065217391e+07,-7.440682983e+01,
+1.086956522e+07,-7.480256653e+01,
+1.108695652e+07,-7.485826874e+01,
+1.130434783e+07,-7.363257599e+01,
+1.152173913e+07,-7.359884644e+01,
+1.173913043e+07,-7.358489990e+01,
+1.195652174e+07,-7.342389679e+01,
+1.217391304e+07,-7.445056915e+01,
+1.239130435e+07,-7.464870453e+01,
+1.260869565e+07,-7.373129272e+01,
+1.282608696e+07,-7.495742798e+01,
+1.304347826e+07,-7.522579956e+01,
+1.326086957e+07,-7.429306793e+01,
+1.347826087e+07,-7.434340668e+01,
+1.369565217e+07,-7.440655518e+01,
+1.391304348e+07,-7.425289917e+01,
+1.413043478e+07,-7.492485046e+01,
+1.434782609e+07,-7.473830414e+01,
+1.456521739e+07,-7.492497253e+01,
+1.478260870e+07,-7.477159119e+01,
+1.500000000e+07,-7.515957642e+01,
+1.521739130e+07,-7.495314026e+01,
+1.543478261e+07,-7.497800446e+01,
+1.565217391e+07,-7.439701843e+01,
+1.586956522e+07,-7.454051971e+01,
+1.608695652e+07,-7.420508575e+01,
+1.630434783e+07,-7.441516113e+01,
+1.652173913e+07,-7.345117950e+01,
+1.673913043e+07,-7.373750305e+01,
+1.695652174e+07,-7.363350677e+01,
+1.717391304e+07,-7.347505188e+01,
+1.739130435e+07,-7.409310150e+01,
+1.760869565e+07,-7.341414642e+01,
+1.782608696e+07,-7.491818237e+01,
+1.804347826e+07,-7.489295197e+01,
+1.826086957e+07,-7.453984070e+01,
+1.847826087e+07,-7.541320801e+01,
+1.869565217e+07,-7.532872772e+01,
+1.891304348e+07,-7.541075134e+01,
+1.913043478e+07,-7.539480591e+01,
+1.934782609e+07,-7.571757507e+01,
+1.956521739e+07,-7.492374420e+01,
+1.978260870e+07,-7.563682556e+01,
+2.000000000e+07,-7.530611420e+01,
+2.021739130e+07,-7.539791870e+01,
+2.043478261e+07,-7.560787964e+01,
+2.065217391e+07,-7.503256226e+01,
+2.086956522e+07,-7.545372009e+01,
+2.108695652e+07,-7.516313171e+01,
+2.130434783e+07,-7.561071014e+01,
+2.152173913e+07,-7.620742798e+01,
+2.173913043e+07,-7.564105225e+01,
+2.195652174e+07,-7.589054871e+01,
+2.217391304e+07,-7.598919678e+01,
+2.239130435e+07,-7.535556793e+01,
+2.260869565e+07,-7.542304230e+01,
+2.282608696e+07,-7.606180573e+01,
+2.304347826e+07,-7.564619446e+01,
+2.326086957e+07,-7.616690063e+01,
+2.347826087e+07,-7.629761505e+01,
+2.369565217e+07,-7.613661957e+01,
+2.391304348e+07,-7.607988739e+01,
+2.413043478e+07,-7.640146637e+01,
+2.434782609e+07,-7.654778290e+01,
+2.456521739e+07,-7.719416809e+01,
+2.478260870e+07,-7.694195557e+01,
+2.500000000e+07,-7.692247009e+01,
+2.521739130e+07,-7.610501862e+01,
+2.543478261e+07,-7.683052826e+01,
+2.565217391e+07,-7.706079102e+01,
+2.586956522e+07,-7.623473358e+01,
+2.608695652e+07,-7.693725586e+01,
+2.630434783e+07,-7.718395233e+01,
+2.652173913e+07,-7.663132477e+01,
+2.673913043e+07,-7.604694366e+01,
+2.695652174e+07,-7.701412964e+01,
+2.717391304e+07,-7.626156616e+01,
+2.739130435e+07,-7.696378326e+01,
+2.760869565e+07,-7.634519958e+01,
+2.782608696e+07,-7.669432831e+01,
+2.804347826e+07,-7.658255005e+01,
+2.826086957e+07,-7.626310730e+01,
+2.847826087e+07,-7.653738403e+01,
+2.869565217e+07,-7.676422119e+01,
+2.891304348e+07,-7.605844116e+01,
+2.913043478e+07,-7.678089142e+01,
+2.934782609e+07,-7.571448517e+01,
+2.956521739e+07,-7.534736633e+01,
+2.978260870e+07,-7.658406067e+01,
+3.000000000e+07,-7.628589630e+01,
+3.021739130e+07,-7.639981842e+01,
+3.043478261e+07,-7.632610321e+01,
+3.065217391e+07,-7.653540802e+01,
+3.086956522e+07,-7.591595459e+01,
+3.108695652e+07,-7.665362549e+01,
+3.130434783e+07,-7.750551605e+01,
+3.152173913e+07,-7.591800690e+01,
+3.173913043e+07,-7.632687378e+01,
+3.195652174e+07,-7.630829620e+01,
+3.217391304e+07,-7.618833923e+01,
+3.239130435e+07,-7.669708252e+01,
+3.260869565e+07,-7.716825104e+01,
+3.282608696e+07,-7.730524445e+01,
+3.304347826e+07,-7.726927948e+01,
+3.326086957e+07,-7.717042542e+01,
+3.347826087e+07,-7.703684235e+01,
+3.369565217e+07,-7.663106537e+01,
+3.391304348e+07,-7.708107758e+01,
+3.413043478e+07,-7.635876465e+01,
+3.434782609e+07,-7.621312714e+01,
+3.456521739e+07,-7.677290344e+01,
+3.478260870e+07,-7.658531952e+01,
+3.500000000e+07,-7.671855927e+01,
+3.521739130e+07,-7.672900391e+01,
+3.543478261e+07,-7.719412231e+01,
+3.565217391e+07,-7.732231140e+01,
+3.586956522e+07,-7.698811340e+01,
+3.608695652e+07,-7.745397186e+01,
+3.630434783e+07,-7.674239349e+01,
+3.652173913e+07,-7.777056885e+01,
+3.673913043e+07,-7.735743713e+01,
+3.695652174e+07,-7.660620880e+01,
