Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
17:35:16 07.26.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),0.022495,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+06,AUTO
VBW,+1.000000000e+06,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-5.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+6.000000000e-06,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+1.400000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,5.00 MHz,-62.29 dBm
M2,1,Frequency,10.00 MHz,-62.03 dBm
M3,1,Frequency,20.00 MHz,-62.41 dBm
M4,1,Frequency,30.00 MHz,-63.51 dBm
M5,1,Frequency,40.00 MHz,-64.06 dBm
M6,1,Frequency,50.00 MHz,-69.13 dBm
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,100,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,-1.178888416e+01,
+2.173913043e+05,-2.779283905e+01,
+4.347826087e+05,-2.984946442e+01,
+6.521739130e+05,-3.284097672e+01,
+8.695652174e+05,-3.690910339e+01,
+1.086956522e+06,-4.210057068e+01,
+1.304347826e+06,-4.831286621e+01,
+1.521739130e+06,-5.582612228e+01,
+1.739130435e+06,-6.361222076e+01,
+1.956521739e+06,-6.679675293e+01,
+2.173913043e+06,-6.666644287e+01,
+2.391304348e+06,-6.529517365e+01,
+2.608695652e+06,-6.498521423e+01,
+2.826086957e+06,-6.391125488e+01,
+3.043478261e+06,-6.342543411e+01,
+3.260869565e+06,-6.289777756e+01,
+3.478260870e+06,-6.314805603e+01,
+3.695652174e+06,-6.298572922e+01,
+3.913043478e+06,-6.296742630e+01,
+4.130434783e+06,-6.182218170e+01,
+4.347826087e+06,-6.168943024e+01,
+4.565217391e+06,-6.198163986e+01,
+4.782608696e+06,-6.239980316e+01,
+5.000000000e+06,-6.229249191e+01,
+5.217391304e+06,-6.234099197e+01,
+5.434782609e+06,-6.237440491e+01,
+5.652173913e+06,-6.181854630e+01,
+5.869565217e+06,-6.203404236e+01,
+6.086956522e+06,-6.215472031e+01,
+6.304347826e+06,-6.175540924e+01,
+6.521739130e+06,-6.112434387e+01,
+6.739130435e+06,-6.181078720e+01,
+6.956521739e+06,-6.176453018e+01,
+7.173913043e+06,-6.258765030e+01,
+7.391304348e+06,-6.185986328e+01,
+7.608695652e+06,-6.219116592e+01,
+7.826086957e+06,-6.181542969e+01,
+8.043478261e+06,-6.233063126e+01,
+8.260869565e+06,-6.124490356e+01,
+8.478260870e+06,-6.228892899e+01,
+8.695652174e+06,-6.253873444e+01,
+8.913043478e+06,-6.202643204e+01,
+9.130434783e+06,-6.213329697e+01,
+9.347826087e+06,-6.183712006e+01,
+9.565217391e+06,-6.246945953e+01,
+9.782608696e+06,-6.208560944e+01,
+1.000000000e+07,-6.202841187e+01,
+1.021739130e+07,-6.213445282e+01,
+1.043478261e+07,-6.154870224e+01,
+1.065217391e+07,-6.207849121e+01,
+1.086956522e+07,-6.184368134e+01,
+1.108695652e+07,-6.293867111e+01,
+1.130434783e+07,-6.230441284e+01,
+1.152173913e+07,-6.215926743e+01,
+1.173913043e+07,-6.244019699e+01,
+1.195652174e+07,-6.250904465e+01,
+1.217391304e+07,-6.244292068e+01,
+1.239130435e+07,-6.228018188e+01,
+1.260869565e+07,-6.187575150e+01,
+1.282608696e+07,-6.183166504e+01,
+1.304347826e+07,-6.134446716e+01,
+1.326086957e+07,-6.162183762e+01,
+1.347826087e+07,-6.213508606e+01,
+1.369565217e+07,-6.238910294e+01,
+1.391304348e+07,-6.233103561e+01,
+1.413043478e+07,-6.173403168e+01,
+1.434782609e+07,-6.192206573e+01,
+1.456521739e+07,-6.163570404e+01,
+1.478260870e+07,-6.231630707e+01,
+1.500000000e+07,-6.183399963e+01,
+1.521739130e+07,-6.216904831e+01,
+1.543478261e+07,-6.213131714e+01,
+1.565217391e+07,-6.125131989e+01,
+1.586956522e+07,-6.150045013e+01,
+1.608695652e+07,-6.204522324e+01,
+1.630434783e+07,-6.216524887e+01,
+1.652173913e+07,-6.149057007e+01,
+1.673913043e+07,-6.199060440e+01,
+1.695652174e+07,-6.146317291e+01,
+1.717391304e+07,-6.210754395e+01,
+1.739130435e+07,-6.210023499e+01,
+1.760869565e+07,-6.193512344e+01,
+1.782608696e+07,-6.182273102e+01,
+1.804347826e+07,-6.220964050e+01,
+1.826086957e+07,-6.201878738e+01,
+1.847826087e+07,-6.176430130e+01,
+1.869565217e+07,-6.207928848e+01,
+1.891304348e+07,-6.192255020e+01,
+1.913043478e+07,-6.170677567e+01,
+1.934782609e+07,-6.249282074e+01,
+1.956521739e+07,-6.194852066e+01,
+1.978260870e+07,-6.228375626e+01,
+2.000000000e+07,-6.240804291e+01,
+2.021739130e+07,-6.199848175e+01,
+2.043478261e+07,-6.219332123e+01,
+2.065217391e+07,-6.162321472e+01,
+2.086956522e+07,-6.225296402e+01,
+2.108695652e+07,-6.227040863e+01,
+2.130434783e+07,-6.239923859e+01,
+2.152173913e+07,-6.269189835e+01,
+2.173913043e+07,-6.236777878e+01,
+2.195652174e+07,-6.222320938e+01,
+2.217391304e+07,-6.224375153e+01,
+2.239130435e+07,-6.235020828e+01,
+2.260869565e+07,-6.294084167e+01,
+2.282608696e+07,-6.267131805e+01,
+2.304347826e+07,-6.246542358e+01,
+2.326086957e+07,-6.318577194e+01,
+2.347826087e+07,-6.260961533e+01,
+2.369565217e+07,-6.309867096e+01,
+2.391304348e+07,-6.264873505e+01,
+2.413043478e+07,-6.263493347e+01,
+2.434782609e+07,-6.275180054e+01,
+2.456521739e+07,-6.268617249e+01,
+2.478260870e+07,-6.330041885e+01,
+2.500000000e+07,-6.318143463e+01,
+2.521739130e+07,-6.297483063e+01,
+2.543478261e+07,-6.328315353e+01,
+2.565217391e+07,-6.202450562e+01,
+2.586956522e+07,-6.332456970e+01,
+2.608695652e+07,-6.248234940e+01,
+2.630434783e+07,-6.241475677e+01,
+2.652173913e+07,-6.237220764e+01,
+2.673913043e+07,-6.288296890e+01,
+2.695652174e+07,-6.326556015e+01,
+2.717391304e+07,-6.303967285e+01,
+2.739130435e+07,-6.265649414e+01,
+2.760869565e+07,-6.270952606e+01,
+2.782608696e+07,-6.320018005e+01,
+2.804347826e+07,-6.257971191e+01,
+2.826086957e+07,-6.300428391e+01,
+2.847826087e+07,-6.371693039e+01,
+2.869565217e+07,-6.353707504e+01,
+2.891304348e+07,-6.266163635e+01,
+2.913043478e+07,-6.264534760e+01,
+2.934782609e+07,-6.407386017e+01,
+2.956521739e+07,-6.315611649e+01,
+2.978260870e+07,-6.385807037e+01,
+3.000000000e+07,-6.351177216e+01,
+3.021739130e+07,-6.214004898e+01,
+3.043478261e+07,-6.313084030e+01,
+3.065217391e+07,-6.391500473e+01,
+3.086956522e+07,-6.412347412e+01,
+3.108695652e+07,-6.288599014e+01,
+3.130434783e+07,-6.300690079e+01,
+3.152173913e+07,-6.271046448e+01,
+3.173913043e+07,-6.263699722e+01,
+3.195652174e+07,-6.297808075e+01,
+3.217391304e+07,-6.351962280e+01,
+3.239130435e+07,-6.298253250e+01,
+3.260869565e+07,-6.301428223e+01,
+3.282608696e+07,-6.300896454e+01,
+3.304347826e+07,-6.339410019e+01,
+3.326086957e+07,-6.300719833e+01,
+3.347826087e+07,-6.380114746e+01,
+3.369565217e+07,-6.346275330e+01,
+3.391304348e+07,-6.251096344e+01,
+3.413043478e+07,-6.332908249e+01,
+3.434782609e+07,-6.385243225e+01,
+3.456521739e+07,-6.364541626e+01,
+3.478260870e+07,-6.283127975e+01,
+3.500000000e+07,-6.299029160e+01,
+3.521739130e+07,-6.296261597e+01,
+3.543478261e+07,-6.349408722e+01,
+3.565217391e+07,-6.402745819e+01,
+3.586956522e+07,-6.302722549e+01,
+3.608695652e+07,-6.374201965e+01,
+3.630434783e+07,-6.357693863e+01,
+3.652173913e+07,-6.342417145e+01,
+3.673913043e+07,-6.313275528e+01,
+3.695652174e+07,-6.364476395e+01,
