Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
13:02:04 07.26.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),1.005100,MAN
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+06,MAN
VBW,+1.000000000e+06,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-5.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+6.000000000e-06,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+1.400000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,5.00 MHz,-73.88 dBm
M2,1,Frequency,10.00 MHz,-73.77 dBm
M3,1,Frequency,20.00 MHz,-74.90 dBm
M4,1,Frequency,30.00 MHz,-76.22 dBm
M5,1,Frequency,40.00 MHz,-77.45 dBm
M6,1,Frequency,50.00 MHz,-81.89 dBm
CISPR Filter,Normal RBW,Dwell Time(s),0.000000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,20,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,-1.194161415e+01,
+2.173913043e+05,-2.726311302e+01,
+4.347826087e+05,-2.991423988e+01,
+6.521739130e+05,-3.294806290e+01,
+8.695652174e+05,-3.703137589e+01,
+1.086956522e+06,-4.219960403e+01,
+1.304347826e+06,-4.845453644e+01,
+1.521739130e+06,-5.586937714e+01,
+1.739130435e+06,-6.458287048e+01,
+1.956521739e+06,-7.281495667e+01,
+2.173913043e+06,-7.530542755e+01,
+2.391304348e+06,-7.534556580e+01,
+2.608695652e+06,-7.470325470e+01,
+2.826086957e+06,-7.470899963e+01,
+3.043478261e+06,-7.441218567e+01,
+3.260869565e+06,-7.415135193e+01,
+3.478260870e+06,-7.423368835e+01,
+3.695652174e+06,-7.402326202e+01,
+3.913043478e+06,-7.406792450e+01,
+4.130434783e+06,-7.401702118e+01,
+4.347826087e+06,-7.403081512e+01,
+4.565217391e+06,-7.394175720e+01,
+4.782608696e+06,-7.394532013e+01,
+5.000000000e+06,-7.388452911e+01,
+5.217391304e+06,-7.407489014e+01,
+5.434782609e+06,-7.397743225e+01,
+5.652173913e+06,-7.402784729e+01,
+5.869565217e+06,-7.410717010e+01,
+6.086956522e+06,-7.390007019e+01,
+6.304347826e+06,-7.420376587e+01,
+6.521739130e+06,-7.419833374e+01,
+6.739130435e+06,-7.425050354e+01,
+6.956521739e+06,-7.421144104e+01,
+7.173913043e+06,-7.417933655e+01,
+7.391304348e+06,-7.412253571e+01,
+7.608695652e+06,-7.413612366e+01,
+7.826086957e+06,-7.437147522e+01,
+8.043478261e+06,-7.429045105e+01,
+8.260869565e+06,-7.429542542e+01,
+8.478260870e+06,-7.429820251e+01,
+8.695652174e+06,-7.416027069e+01,
+8.913043478e+06,-7.413037109e+01,
+9.130434783e+06,-7.431194305e+01,
+9.347826087e+06,-7.390132141e+01,
+9.565217391e+06,-7.398397064e+01,
+9.782608696e+06,-7.376304626e+01,
+1.000000000e+07,-7.377323914e+01,
+1.021739130e+07,-7.387705231e+01,
+1.043478261e+07,-7.401554871e+01,
+1.065217391e+07,-7.373099518e+01,
+1.086956522e+07,-7.346967316e+01,
+1.108695652e+07,-7.280860901e+01,
+1.130434783e+07,-7.238051605e+01,
+1.152173913e+07,-7.236753845e+01,
+1.173913043e+07,-7.239555359e+01,
+1.195652174e+07,-7.252937317e+01,
+1.217391304e+07,-7.305008698e+01,
+1.239130435e+07,-7.371038818e+01,
+1.260869565e+07,-7.404487610e+01,
+1.282608696e+07,-7.411650085e+01,
+1.304347826e+07,-7.445523071e+01,
+1.326086957e+07,-7.430588531e+01,
+1.347826087e+07,-7.444391632e+01,
+1.369565217e+07,-7.451475525e+01,
+1.391304348e+07,-7.444111633e+01,
+1.413043478e+07,-7.437227631e+01,
+1.434782609e+07,-7.463997650e+01,
+1.456521739e+07,-7.441216278e+01,
+1.478260870e+07,-7.443703461e+01,
+1.500000000e+07,-7.449189758e+01,
+1.521739130e+07,-7.453125763e+01,
+1.543478261e+07,-7.419892883e+01,
+1.565217391e+07,-7.371096802e+01,
+1.586956522e+07,-7.336246490e+01,
+1.608695652e+07,-7.277053070e+01,
+1.630434783e+07,-7.227467346e+01,
+1.652173913e+07,-7.183617401e+01,
+1.673913043e+07,-7.180796814e+01,
+1.695652174e+07,-7.166173553e+01,
+1.717391304e+07,-7.178055573e+01,
+1.739130435e+07,-7.209793854e+01,
+1.760869565e+07,-7.222765350e+01,
+1.782608696e+07,-7.250053406e+01,
+1.804347826e+07,-7.281108856e+01,
+1.826086957e+07,-7.317972565e+01,
+1.847826087e+07,-7.360688782e+01,
+1.869565217e+07,-7.404993439e+01,
+1.891304348e+07,-7.431019592e+01,
+1.913043478e+07,-7.467210388e+01,
+1.934782609e+07,-7.474146271e+01,
+1.956521739e+07,-7.496444702e+01,
+1.978260870e+07,-7.481546783e+01,
+2.000000000e+07,-7.489903259e+01,
+2.021739130e+07,-7.498012543e+01,
+2.043478261e+07,-7.519104004e+01,
+2.065217391e+07,-7.546018219e+01,
+2.086956522e+07,-7.561726379e+01,
+2.108695652e+07,-7.560138702e+01,
+2.130434783e+07,-7.560072327e+01,
+2.152173913e+07,-7.576977539e+01,
+2.173913043e+07,-7.550697327e+01,
+2.195652174e+07,-7.540363312e+01,
+2.217391304e+07,-7.554817200e+01,
+2.239130435e+07,-7.535374451e+01,
+2.260869565e+07,-7.542382813e+01,
+2.282608696e+07,-7.551630402e+01,
+2.304347826e+07,-7.562177277e+01,
+2.326086957e+07,-7.578227997e+01,
+2.347826087e+07,-7.589286804e+01,
+2.369565217e+07,-7.600646210e+01,
+2.391304348e+07,-7.626849365e+01,
+2.413043478e+07,-7.610323334e+01,
+2.434782609e+07,-7.637346649e+01,
+2.456521739e+07,-7.636155701e+01,
+2.478260870e+07,-7.635835266e+01,
+2.500000000e+07,-7.621424866e+01,
+2.521739130e+07,-7.631407166e+01,
+2.543478261e+07,-7.646089172e+01,
+2.565217391e+07,-7.677117157e+01,
+2.586956522e+07,-7.651039124e+01,
+2.608695652e+07,-7.650659180e+01,
+2.630434783e+07,-7.660792542e+01,
+2.652173913e+07,-7.676823425e+01,
+2.673913043e+07,-7.669417572e+01,
+2.695652174e+07,-7.649295044e+01,
+2.717391304e+07,-7.678765106e+01,
+2.739130435e+07,-7.664518738e+01,
+2.760869565e+07,-7.664791107e+01,
+2.782608696e+07,-7.664936829e+01,
+2.804347826e+07,-7.641559601e+01,
+2.826086957e+07,-7.635865784e+01,
+2.847826087e+07,-7.627163696e+01,
+2.869565217e+07,-7.623320770e+01,
+2.891304348e+07,-7.618343353e+01,
+2.913043478e+07,-7.607681274e+01,
+2.934782609e+07,-7.605515289e+01,
+2.956521739e+07,-7.602382660e+01,
+2.978260870e+07,-7.611846924e+01,
+3.000000000e+07,-7.621998596e+01,
+3.021739130e+07,-7.610566711e+01,
+3.043478261e+07,-7.613023376e+01,
+3.065217391e+07,-7.610595703e+01,
+3.086956522e+07,-7.616526794e+01,
+3.108695652e+07,-7.609181213e+01,
+3.130434783e+07,-7.624198914e+01,
+3.152173913e+07,-7.616902924e+01,
+3.173913043e+07,-7.622241211e+01,
+3.195652174e+07,-7.613978577e+01,
+3.217391304e+07,-7.612113953e+01,
+3.239130435e+07,-7.637702179e+01,
+3.260869565e+07,-7.643908691e+01,
+3.282608696e+07,-7.624258423e+01,
+3.304347826e+07,-7.631483459e+01,
+3.326086957e+07,-7.637032318e+01,
+3.347826087e+07,-7.636820221e+01,
+3.369565217e+07,-7.652355957e+01,
+3.391304348e+07,-7.617350769e+01,
+3.413043478e+07,-7.616858673e+01,
+3.434782609e+07,-7.628425598e+01,
+3.456521739e+07,-7.622422791e+01,
+3.478260870e+07,-7.638788605e+01,
+3.500000000e+07,-7.636871338e+01,
+3.521739130e+07,-7.651019287e+01,
+3.543478261e+07,-7.658045197e+01,
+3.565217391e+07,-7.673506165e+01,
+3.586956522e+07,-7.685353851e+01,
+3.608695652e+07,-7.682658386e+01,
+3.630434783e+07,-7.697023773e+01,
+3.652173913e+07,-7.704060364e+01,
+3.673913043e+07,-7.705632019e+01,
+3.695652174e+07,-7.704782104e+01,
