Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
13:02:57 07.26.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),1.005100,MAN
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+06,MAN
VBW,+1.000000000e+06,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-5.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+6.000000000e-06,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+1.400000000e-05
Gate Length,+8.400000000e-05
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.000000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,5.00 MHz,-61.71 dBm
M2,1,Frequency,10.00 MHz,-61.98 dBm
M3,1,Frequency,20.00 MHz,-61.93 dBm
M4,1,Frequency,30.00 MHz,-62.92 dBm
M5,1,Frequency,40.00 MHz,-63.98 dBm
M6,1,Frequency,50.00 MHz,-68.31 dBm
CISPR Filter,Normal RBW,Dwell Time(s),0.000000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,20,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,-1.194873333e+01,
+2.173913043e+05,-2.727082825e+01,
+4.347826087e+05,-2.992158127e+01,
+6.521739130e+05,-3.295054626e+01,
+8.695652174e+05,-3.705220795e+01,
+1.086956522e+06,-4.220374680e+01,
+1.304347826e+06,-4.845181656e+01,
+1.521739130e+06,-5.591503143e+01,
+1.739130435e+06,-6.354803467e+01,
+1.956521739e+06,-6.625441742e+01,
+2.173913043e+06,-6.606843567e+01,
+2.391304348e+06,-6.561331177e+01,
+2.608695652e+06,-6.491001892e+01,
+2.826086957e+06,-6.441396332e+01,
+3.043478261e+06,-6.391487885e+01,
+3.260869565e+06,-6.322199249e+01,
+3.478260870e+06,-6.312171555e+01,
+3.695652174e+06,-6.282622147e+01,
+3.913043478e+06,-6.236762619e+01,
+4.130434783e+06,-6.231800079e+01,
+4.347826087e+06,-6.227160645e+01,
+4.565217391e+06,-6.216582108e+01,
+4.782608696e+06,-6.212609863e+01,
+5.000000000e+06,-6.171173096e+01,
+5.217391304e+06,-6.191120148e+01,
+5.434782609e+06,-6.178967285e+01,
+5.652173913e+06,-6.199647903e+01,
+5.869565217e+06,-6.189397430e+01,
+6.086956522e+06,-6.196060181e+01,
+6.304347826e+06,-6.196255493e+01,
+6.521739130e+06,-6.194862747e+01,
+6.739130435e+06,-6.190903854e+01,
+6.956521739e+06,-6.176795197e+01,
+7.173913043e+06,-6.209736252e+01,
+7.391304348e+06,-6.197490692e+01,
+7.608695652e+06,-6.176695633e+01,
+7.826086957e+06,-6.198740387e+01,
+8.043478261e+06,-6.193018723e+01,
+8.260869565e+06,-6.224649048e+01,
+8.478260870e+06,-6.203760529e+01,
+8.695652174e+06,-6.213576126e+01,
+8.913043478e+06,-6.192241287e+01,
+9.130434783e+06,-6.215628815e+01,
+9.347826087e+06,-6.209308624e+01,
+9.565217391e+06,-6.202175140e+01,
+9.782608696e+06,-6.210839081e+01,
+1.000000000e+07,-6.198134613e+01,
+1.021739130e+07,-6.194556427e+01,
+1.043478261e+07,-6.213903809e+01,
+1.065217391e+07,-6.206869507e+01,
+1.086956522e+07,-6.185297775e+01,
+1.108695652e+07,-6.186655426e+01,
+1.130434783e+07,-6.191765213e+01,
+1.152173913e+07,-6.161322021e+01,
+1.173913043e+07,-6.174697876e+01,
+1.195652174e+07,-6.207120514e+01,
+1.217391304e+07,-6.188584137e+01,
+1.239130435e+07,-6.200383759e+01,
+1.260869565e+07,-6.177909470e+01,
+1.282608696e+07,-6.226884842e+01,
+1.304347826e+07,-6.213861084e+01,
+1.326086957e+07,-6.189289093e+01,
+1.347826087e+07,-6.210633087e+01,
+1.369565217e+07,-6.210394287e+01,
+1.391304348e+07,-6.202000809e+01,
+1.413043478e+07,-6.184634399e+01,
+1.434782609e+07,-6.165621948e+01,
+1.456521739e+07,-6.185746384e+01,
+1.478260870e+07,-6.167567062e+01,
+1.500000000e+07,-6.201071930e+01,
+1.521739130e+07,-6.180892944e+01,
+1.543478261e+07,-6.177369308e+01,
+1.565217391e+07,-6.170792770e+01,
+1.586956522e+07,-6.155231476e+01,
+1.608695652e+07,-6.168330765e+01,
+1.630434783e+07,-6.133075714e+01,
+1.652173913e+07,-6.166788483e+01,
+1.673913043e+07,-6.141938400e+01,
+1.695652174e+07,-6.140452957e+01,
+1.717391304e+07,-6.146525955e+01,
+1.739130435e+07,-6.121881104e+01,
+1.760869565e+07,-6.157056808e+01,
+1.782608696e+07,-6.163352585e+01,
+1.804347826e+07,-6.170150757e+01,
+1.826086957e+07,-6.181476974e+01,
+1.847826087e+07,-6.194409943e+01,
+1.869565217e+07,-6.166395187e+01,
+1.891304348e+07,-6.161743927e+01,
+1.913043478e+07,-6.175734329e+01,
+1.934782609e+07,-6.184425735e+01,
+1.956521739e+07,-6.211457443e+01,
+1.978260870e+07,-6.209708405e+01,
+2.000000000e+07,-6.192543793e+01,
+2.021739130e+07,-6.211180878e+01,
+2.043478261e+07,-6.214837646e+01,
+2.065217391e+07,-6.229105759e+01,
+2.086956522e+07,-6.232463837e+01,
+2.108695652e+07,-6.243975067e+01,
+2.130434783e+07,-6.227505493e+01,
+2.152173913e+07,-6.249911499e+01,
+2.173913043e+07,-6.214318085e+01,
+2.195652174e+07,-6.237395096e+01,
+2.217391304e+07,-6.237438202e+01,
+2.239130435e+07,-6.266174316e+01,
+2.260869565e+07,-6.258640289e+01,
+2.282608696e+07,-6.241654587e+01,
+2.304347826e+07,-6.240737152e+01,
+2.326086957e+07,-6.252098465e+01,
+2.347826087e+07,-6.261472702e+01,
+2.369565217e+07,-6.245269012e+01,
+2.391304348e+07,-6.275269699e+01,
+2.413043478e+07,-6.280593872e+01,
+2.434782609e+07,-6.286526489e+01,
+2.456521739e+07,-6.270491791e+01,
+2.478260870e+07,-6.278060150e+01,
+2.500000000e+07,-6.274526215e+01,
+2.521739130e+07,-6.258022308e+01,
+2.543478261e+07,-6.275867462e+01,
+2.565217391e+07,-6.269543457e+01,
+2.586956522e+07,-6.264019775e+01,
+2.608695652e+07,-6.273865509e+01,
+2.630434783e+07,-6.282607269e+01,
+2.652173913e+07,-6.280261230e+01,
+2.673913043e+07,-6.305693817e+01,
+2.695652174e+07,-6.300654984e+01,
+2.717391304e+07,-6.311203766e+01,
+2.739130435e+07,-6.300197601e+01,
+2.760869565e+07,-6.283485794e+01,
+2.782608696e+07,-6.303311920e+01,
+2.804347826e+07,-6.306107330e+01,
+2.826086957e+07,-6.312601471e+01,
+2.847826087e+07,-6.289567184e+01,
+2.869565217e+07,-6.313562012e+01,
+2.891304348e+07,-6.308585358e+01,
+2.913043478e+07,-6.286376953e+01,
+2.934782609e+07,-6.307857132e+01,
+2.956521739e+07,-6.298944855e+01,
+2.978260870e+07,-6.306384277e+01,
+3.000000000e+07,-6.292429352e+01,
+3.021739130e+07,-6.323871994e+01,
+3.043478261e+07,-6.316559982e+01,
+3.065217391e+07,-6.316685104e+01,
+3.086956522e+07,-6.313184738e+01,
+3.108695652e+07,-6.304549408e+01,
+3.130434783e+07,-6.314080048e+01,
+3.152173913e+07,-6.316350555e+01,
+3.173913043e+07,-6.300710297e+01,
+3.195652174e+07,-6.328954315e+01,
+3.217391304e+07,-6.310150146e+01,
+3.239130435e+07,-6.323026276e+01,
+3.260869565e+07,-6.329910278e+01,
+3.282608696e+07,-6.291060257e+01,
+3.304347826e+07,-6.303512573e+01,
+3.326086957e+07,-6.318077850e+01,
+3.347826087e+07,-6.335341263e+01,
+3.369565217e+07,-6.317061615e+01,
+3.391304348e+07,-6.314019012e+01,
+3.413043478e+07,-6.297209549e+01,
+3.434782609e+07,-6.304586029e+01,
+3.456521739e+07,-6.312529373e+01,
+3.478260870e+07,-6.332649994e+01,
+3.500000000e+07,-6.302305984e+01,
+3.521739130e+07,-6.320245361e+01,
+3.543478261e+07,-6.322235870e+01,
+3.565217391e+07,-6.330406952e+01,
+3.586956522e+07,-6.303442383e+01,
+3.608695652e+07,-6.311856842e+01,
+3.630434783e+07,-6.351492310e+01,
+3.652173913e+07,-6.321389771e+01,
+3.673913043e+07,-6.343415451e+01,
+3.695652174e+07,-6.356922150e+01,
