Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
04:15:41 07.09.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),1.005100,MAN
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+06,MAN
VBW,+1.000000000e+06,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-5.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,5.00 MHz,-65.79 dBm
M2,1,Frequency,10.00 MHz,-64.25 dBm
M3,1,Frequency,20.00 MHz,-64.30 dBm
M4,1,Frequency,30.00 MHz,-64.51 dBm
M5,1,Frequency,40.00 MHz,-64.94 dBm
M6,1,Frequency,50.00 MHz,-67.44 dBm
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,20,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,-1.155018997e+01,
+2.173913043e+05,-2.687380981e+01,
+4.347826087e+05,-2.953389931e+01,
+6.521739130e+05,-3.256546021e+01,
+8.695652174e+05,-3.664975739e+01,
+1.086956522e+06,-4.182369614e+01,
+1.304347826e+06,-4.807246399e+01,
+1.521739130e+06,-5.551610565e+01,
+1.739130435e+06,-6.371025467e+01,
+1.956521739e+06,-6.871293640e+01,
+2.173913043e+06,-7.027249146e+01,
+2.391304348e+06,-7.019307709e+01,
+2.608695652e+06,-6.996956635e+01,
+2.826086957e+06,-6.953710175e+01,
+3.043478261e+06,-6.917927551e+01,
+3.260869565e+06,-6.853575134e+01,
+3.478260870e+06,-6.816180420e+01,
+3.695652174e+06,-6.770751953e+01,
+3.913043478e+06,-6.729782104e+01,
+4.130434783e+06,-6.703359985e+01,
+4.347826087e+06,-6.645015717e+01,
+4.565217391e+06,-6.626995087e+01,
+4.782608696e+06,-6.605793762e+01,
+5.000000000e+06,-6.579307556e+01,
+5.217391304e+06,-6.584189606e+01,
+5.434782609e+06,-6.555234528e+01,
+5.652173913e+06,-6.547115326e+01,
+5.869565217e+06,-6.535432434e+01,
+6.086956522e+06,-6.532882690e+01,
+6.304347826e+06,-6.508775330e+01,
+6.521739130e+06,-6.501367950e+01,
+6.739130435e+06,-6.515493011e+01,
+6.956521739e+06,-6.486715698e+01,
+7.173913043e+06,-6.486528778e+01,
+7.391304348e+06,-6.501270294e+01,
+7.608695652e+06,-6.472303772e+01,
+7.826086957e+06,-6.448326874e+01,
+8.043478261e+06,-6.468766022e+01,
+8.260869565e+06,-6.474766541e+01,
+8.478260870e+06,-6.481587219e+01,
+8.695652174e+06,-6.471314240e+01,
+8.913043478e+06,-6.439750671e+01,
+9.130434783e+06,-6.446278381e+01,
+9.347826087e+06,-6.446823883e+01,
+9.565217391e+06,-6.434397888e+01,
+9.782608696e+06,-6.434521484e+01,
+1.000000000e+07,-6.425313568e+01,
+1.021739130e+07,-6.455131531e+01,
+1.043478261e+07,-6.425953674e+01,
+1.065217391e+07,-6.443311310e+01,
+1.086956522e+07,-6.434693909e+01,
+1.108695652e+07,-6.445682526e+01,
+1.130434783e+07,-6.442987823e+01,
+1.152173913e+07,-6.437226868e+01,
+1.173913043e+07,-6.417054749e+01,
+1.195652174e+07,-6.431033325e+01,
+1.217391304e+07,-6.446297455e+01,
+1.239130435e+07,-6.454115295e+01,
+1.260869565e+07,-6.446704865e+01,
+1.282608696e+07,-6.456579590e+01,
+1.304347826e+07,-6.454444885e+01,
+1.326086957e+07,-6.440907288e+01,
+1.347826087e+07,-6.452058411e+01,
+1.369565217e+07,-6.443740082e+01,
+1.391304348e+07,-6.440057373e+01,
+1.413043478e+07,-6.444914246e+01,
+1.434782609e+07,-6.429047394e+01,
+1.456521739e+07,-6.449208069e+01,
+1.478260870e+07,-6.460390472e+01,
+1.500000000e+07,-6.459975433e+01,
+1.521739130e+07,-6.440345764e+01,
+1.543478261e+07,-6.459887695e+01,
+1.565217391e+07,-6.441999817e+01,
+1.586956522e+07,-6.454425812e+01,
+1.608695652e+07,-6.456257629e+01,
+1.630434783e+07,-6.432273102e+01,
+1.652173913e+07,-6.466161346e+01,
+1.673913043e+07,-6.439881897e+01,
+1.695652174e+07,-6.430485535e+01,
+1.717391304e+07,-6.433602905e+01,
+1.739130435e+07,-6.423454285e+01,
+1.760869565e+07,-6.426330566e+01,
+1.782608696e+07,-6.448611450e+01,
+1.804347826e+07,-6.430116272e+01,
+1.826086957e+07,-6.416961670e+01,
+1.847826087e+07,-6.425653076e+01,
+1.869565217e+07,-6.437065887e+01,
+1.891304348e+07,-6.427803040e+01,
+1.913043478e+07,-6.439595032e+01,
+1.934782609e+07,-6.415364075e+01,
+1.956521739e+07,-6.431748962e+01,
+1.978260870e+07,-6.421946716e+01,
+2.000000000e+07,-6.430006409e+01,
+2.021739130e+07,-6.412507629e+01,
+2.043478261e+07,-6.435210419e+01,
+2.065217391e+07,-6.452538300e+01,
+2.086956522e+07,-6.430985260e+01,
+2.108695652e+07,-6.470973969e+01,
+2.130434783e+07,-6.458781433e+01,
+2.152173913e+07,-6.436256409e+01,
+2.173913043e+07,-6.453680420e+01,
+2.195652174e+07,-6.451053619e+01,
+2.217391304e+07,-6.445368958e+01,
+2.239130435e+07,-6.447193909e+01,
+2.260869565e+07,-6.469340515e+01,
+2.282608696e+07,-6.461634827e+01,
+2.304347826e+07,-6.445228577e+01,
+2.326086957e+07,-6.459516144e+01,
+2.347826087e+07,-6.445955658e+01,
+2.369565217e+07,-6.452283478e+01,
+2.391304348e+07,-6.452330780e+01,
+2.413043478e+07,-6.427279663e+01,
+2.434782609e+07,-6.454225159e+01,
+2.456521739e+07,-6.440820313e+01,
+2.478260870e+07,-6.450055695e+01,
+2.500000000e+07,-6.431394958e+01,
+2.521739130e+07,-6.449449921e+01,
+2.543478261e+07,-6.457777405e+01,
+2.565217391e+07,-6.441087341e+01,
+2.586956522e+07,-6.456733704e+01,
+2.608695652e+07,-6.463157654e+01,
+2.630434783e+07,-6.455864716e+01,
+2.652173913e+07,-6.429664612e+01,
+2.673913043e+07,-6.432986450e+01,
+2.695652174e+07,-6.446192932e+01,
+2.717391304e+07,-6.441230774e+01,
+2.739130435e+07,-6.430102539e+01,
+2.760869565e+07,-6.439778137e+01,
+2.782608696e+07,-6.442928314e+01,
+2.804347826e+07,-6.438639832e+01,
+2.826086957e+07,-6.451880646e+01,
+2.847826087e+07,-6.457302856e+01,
+2.869565217e+07,-6.444346619e+01,
+2.891304348e+07,-6.438314056e+01,
+2.913043478e+07,-6.448176575e+01,
+2.934782609e+07,-6.437471771e+01,
+2.956521739e+07,-6.439862061e+01,
+2.978260870e+07,-6.434963989e+01,
+3.000000000e+07,-6.451323700e+01,
+3.021739130e+07,-6.449674225e+01,
+3.043478261e+07,-6.430387878e+01,
+3.065217391e+07,-6.450401306e+01,
+3.086956522e+07,-6.462155151e+01,
+3.108695652e+07,-6.454839325e+01,
+3.130434783e+07,-6.444556427e+01,
+3.152173913e+07,-6.460874939e+01,
+3.173913043e+07,-6.456568909e+01,
+3.195652174e+07,-6.442403412e+01,
+3.217391304e+07,-6.441831207e+01,
+3.239130435e+07,-6.458225250e+01,
+3.260869565e+07,-6.454319000e+01,
+3.282608696e+07,-6.432335663e+01,
+3.304347826e+07,-6.467003632e+01,
+3.326086957e+07,-6.439531708e+01,
+3.347826087e+07,-6.459665680e+01,
+3.369565217e+07,-6.449160004e+01,
+3.391304348e+07,-6.432011414e+01,
+3.413043478e+07,-6.456816864e+01,
+3.434782609e+07,-6.449954224e+01,
+3.456521739e+07,-6.448022461e+01,
+3.478260870e+07,-6.457321930e+01,
+3.500000000e+07,-6.464693451e+01,
+3.521739130e+07,-6.452546692e+01,
+3.543478261e+07,-6.448823547e+01,
+3.565217391e+07,-6.458219910e+01,
+3.586956522e+07,-6.447198486e+01,
+3.608695652e+07,-6.439839172e+01,
+3.630434783e+07,-6.456607056e+01,
+3.652173913e+07,-6.458267975e+01,
+3.673913043e+07,-6.455645752e+01,
+3.695652174e+07,-6.485381317e+01,
