Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
10:58:49 07.10.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),1.005100,MAN
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+06,MAN
VBW,+1.000000000e+06,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-5.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,5.00 MHz,-75.74 dBm
M2,1,Frequency,10.00 MHz,-74.34 dBm
M3,1,Frequency,20.00 MHz,-74.74 dBm
M4,1,Frequency,30.00 MHz,-75.29 dBm
M5,1,Frequency,40.00 MHz,-75.67 dBm
M6,1,Frequency,50.00 MHz,-77.85 dBm
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,20,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,-1.184882927e+01,
+2.173913043e+05,-2.716763306e+01,
+4.347826087e+05,-2.981611061e+01,
+6.521739130e+05,-3.284500122e+01,
+8.695652174e+05,-3.693271637e+01,
+1.086956522e+06,-4.207582855e+01,
+1.304347826e+06,-4.833803177e+01,
+1.521739130e+06,-5.573563385e+01,
+1.739130435e+06,-6.439173889e+01,
+1.956521739e+06,-7.288717651e+01,
+2.173913043e+06,-7.602497864e+01,
+2.391304348e+06,-7.643404388e+01,
+2.608695652e+06,-7.643274689e+01,
+2.826086957e+06,-7.619841003e+01,
+3.043478261e+06,-7.627433014e+01,
+3.260869565e+06,-7.580480957e+01,
+3.478260870e+06,-7.563529205e+01,
+3.695652174e+06,-7.572384644e+01,
+3.913043478e+06,-7.564252472e+01,
+4.130434783e+06,-7.558925629e+01,
+4.347826087e+06,-7.563453674e+01,
+4.565217391e+06,-7.573388672e+01,
+4.782608696e+06,-7.577079010e+01,
+5.000000000e+06,-7.573647308e+01,
+5.217391304e+06,-7.572312927e+01,
+5.434782609e+06,-7.561955261e+01,
+5.652173913e+06,-7.560126495e+01,
+5.869565217e+06,-7.537725830e+01,
+6.086956522e+06,-7.544146729e+01,
+6.304347826e+06,-7.548716736e+01,
+6.521739130e+06,-7.537767029e+01,
+6.739130435e+06,-7.535199738e+01,
+6.956521739e+06,-7.525892639e+01,
+7.173913043e+06,-7.517556763e+01,
+7.391304348e+06,-7.479248810e+01,
+7.608695652e+06,-7.492446136e+01,
+7.826086957e+06,-7.510889435e+01,
+8.043478261e+06,-7.504996490e+01,
+8.260869565e+06,-7.494621277e+01,
+8.478260870e+06,-7.507712555e+01,
+8.695652174e+06,-7.461048889e+01,
+8.913043478e+06,-7.439723206e+01,
+9.130434783e+06,-7.398609924e+01,
+9.347826087e+06,-7.378483582e+01,
+9.565217391e+06,-7.385309601e+01,
+9.782608696e+06,-7.393445587e+01,
+1.000000000e+07,-7.434208679e+01,
+1.021739130e+07,-7.493487549e+01,
+1.043478261e+07,-7.496157837e+01,
+1.065217391e+07,-7.520166016e+01,
+1.086956522e+07,-7.524364471e+01,
+1.108695652e+07,-7.525503540e+01,
+1.130434783e+07,-7.522108459e+01,
+1.152173913e+07,-7.515620422e+01,
+1.173913043e+07,-7.511766052e+01,
+1.195652174e+07,-7.525513458e+01,
+1.217391304e+07,-7.497193909e+01,
+1.239130435e+07,-7.520323181e+01,
+1.260869565e+07,-7.519943237e+01,
+1.282608696e+07,-7.523738098e+01,
+1.304347826e+07,-7.525366211e+01,
+1.326086957e+07,-7.502013397e+01,
+1.347826087e+07,-7.500987244e+01,
+1.369565217e+07,-7.521360779e+01,
+1.391304348e+07,-7.495351410e+01,
+1.413043478e+07,-7.516176605e+01,
+1.434782609e+07,-7.504847717e+01,
+1.456521739e+07,-7.511557007e+01,
+1.478260870e+07,-7.517082977e+01,
+1.500000000e+07,-7.474926758e+01,
+1.521739130e+07,-7.535134888e+01,
+1.543478261e+07,-7.525296783e+01,
+1.565217391e+07,-7.551768494e+01,
+1.586956522e+07,-7.525977325e+01,
+1.608695652e+07,-7.516355133e+01,
+1.630434783e+07,-7.510794830e+01,
+1.652173913e+07,-7.488357544e+01,
+1.673913043e+07,-7.480458832e+01,
+1.695652174e+07,-7.470775604e+01,
+1.717391304e+07,-7.476533508e+01,
+1.739130435e+07,-7.452245331e+01,
+1.760869565e+07,-7.451364136e+01,
+1.782608696e+07,-7.461588287e+01,
+1.804347826e+07,-7.465283203e+01,
+1.826086957e+07,-7.467179871e+01,
+1.847826087e+07,-7.466846466e+01,
+1.869565217e+07,-7.471987915e+01,
+1.891304348e+07,-7.470556641e+01,
+1.913043478e+07,-7.483413696e+01,
+1.934782609e+07,-7.480708313e+01,
+1.956521739e+07,-7.501626587e+01,
+1.978260870e+07,-7.486868286e+01,
+2.000000000e+07,-7.473960114e+01,
+2.021739130e+07,-7.492053223e+01,
+2.043478261e+07,-7.450350952e+01,
+2.065217391e+07,-7.456919861e+01,
+2.086956522e+07,-7.409099579e+01,
+2.108695652e+07,-7.415577698e+01,
+2.130434783e+07,-7.406822205e+01,
+2.152173913e+07,-7.414115906e+01,
+2.173913043e+07,-7.393875885e+01,
+2.195652174e+07,-7.411543274e+01,
+2.217391304e+07,-7.417171478e+01,
+2.239130435e+07,-7.467961121e+01,
+2.260869565e+07,-7.450859833e+01,
+2.282608696e+07,-7.478303528e+01,
+2.304347826e+07,-7.481018066e+01,
+2.326086957e+07,-7.497811127e+01,
+2.347826087e+07,-7.489678955e+01,
+2.369565217e+07,-7.485320282e+01,
+2.391304348e+07,-7.520948029e+01,
+2.413043478e+07,-7.498040771e+01,
+2.434782609e+07,-7.502329254e+01,
+2.456521739e+07,-7.495634460e+01,
+2.478260870e+07,-7.518509674e+01,
+2.500000000e+07,-7.503072357e+01,
+2.521739130e+07,-7.516007233e+01,
+2.543478261e+07,-7.520079041e+01,
+2.565217391e+07,-7.524390411e+01,
+2.586956522e+07,-7.521984863e+01,
+2.608695652e+07,-7.532772827e+01,
+2.630434783e+07,-7.527053070e+01,
+2.652173913e+07,-7.519189453e+01,
+2.673913043e+07,-7.510182190e+01,
+2.695652174e+07,-7.517933655e+01,
+2.717391304e+07,-7.512989807e+01,
+2.739130435e+07,-7.501308441e+01,
+2.760869565e+07,-7.498407745e+01,
+2.782608696e+07,-7.483209229e+01,
+2.804347826e+07,-7.492417908e+01,
+2.826086957e+07,-7.442441559e+01,
+2.847826087e+07,-7.486985779e+01,
+2.869565217e+07,-7.477632141e+01,
+2.891304348e+07,-7.509821320e+01,
+2.913043478e+07,-7.511460876e+01,
+2.934782609e+07,-7.527751160e+01,
+2.956521739e+07,-7.538092804e+01,
+2.978260870e+07,-7.514962006e+01,
+3.000000000e+07,-7.529376984e+01,
+3.021739130e+07,-7.547682190e+01,
+3.043478261e+07,-7.534470367e+01,
+3.065217391e+07,-7.555001068e+01,
+3.086956522e+07,-7.555253601e+01,
+3.108695652e+07,-7.522702026e+01,
+3.130434783e+07,-7.528870392e+01,
+3.152173913e+07,-7.528153992e+01,
+3.173913043e+07,-7.529032898e+01,
+3.195652174e+07,-7.518589783e+01,
+3.217391304e+07,-7.519290161e+01,
+3.239130435e+07,-7.538137054e+01,
+3.260869565e+07,-7.524396515e+01,
+3.282608696e+07,-7.530457306e+01,
+3.304347826e+07,-7.527786255e+01,
+3.326086957e+07,-7.543153381e+01,
+3.347826087e+07,-7.579907227e+01,
+3.369565217e+07,-7.562434387e+01,
+3.391304348e+07,-7.529951477e+01,
+3.413043478e+07,-7.528173828e+01,
+3.434782609e+07,-7.547701263e+01,
+3.456521739e+07,-7.533992767e+01,
+3.478260870e+07,-7.525595856e+01,
+3.500000000e+07,-7.534822083e+01,
+3.521739130e+07,-7.542404175e+01,
+3.543478261e+07,-7.514269257e+01,
+3.565217391e+07,-7.542372894e+01,
+3.586956522e+07,-7.536297607e+01,
+3.608695652e+07,-7.524450684e+01,
+3.630434783e+07,-7.544288635e+01,
+3.652173913e+07,-7.549881744e+01,
+3.673913043e+07,-7.551024628e+01,
+3.695652174e+07,-7.545861816e+01,
