Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
10:59:42 07.10.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),1.005100,MAN
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+06,MAN
VBW,+1.000000000e+06,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-5.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,5.00 MHz,-65.59 dBm
M2,1,Frequency,10.00 MHz,-64.40 dBm
M3,1,Frequency,20.00 MHz,-64.25 dBm
M4,1,Frequency,30.00 MHz,-64.63 dBm
M5,1,Frequency,40.00 MHz,-64.85 dBm
M6,1,Frequency,50.00 MHz,-66.96 dBm
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,20,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,-1.185314369e+01,
+2.173913043e+05,-2.717163658e+01,
+4.347826087e+05,-2.982007217e+01,
+6.521739130e+05,-3.284837341e+01,
+8.695652174e+05,-3.694036484e+01,
+1.086956522e+06,-4.208550262e+01,
+1.304347826e+06,-4.836529541e+01,
+1.521739130e+06,-5.574567795e+01,
+1.739130435e+06,-6.416401672e+01,
+1.956521739e+06,-6.981247711e+01,
+2.173913043e+06,-7.047495270e+01,
+2.391304348e+06,-7.032668304e+01,
+2.608695652e+06,-6.982421112e+01,
+2.826086957e+06,-6.942646790e+01,
+3.043478261e+06,-6.889950562e+01,
+3.260869565e+06,-6.825961304e+01,
+3.478260870e+06,-6.765689850e+01,
+3.695652174e+06,-6.743090820e+01,
+3.913043478e+06,-6.676368713e+01,
+4.130434783e+06,-6.656181335e+01,
+4.347826087e+06,-6.625595856e+01,
+4.565217391e+06,-6.587370300e+01,
+4.782608696e+06,-6.600521088e+01,
+5.000000000e+06,-6.558695221e+01,
+5.217391304e+06,-6.556252289e+01,
+5.434782609e+06,-6.553237152e+01,
+5.652173913e+06,-6.547315979e+01,
+5.869565217e+06,-6.522547150e+01,
+6.086956522e+06,-6.526214600e+01,
+6.304347826e+06,-6.505477142e+01,
+6.521739130e+06,-6.500547791e+01,
+6.739130435e+06,-6.486705017e+01,
+6.956521739e+06,-6.472339630e+01,
+7.173913043e+06,-6.499848938e+01,
+7.391304348e+06,-6.478245544e+01,
+7.608695652e+06,-6.460542297e+01,
+7.826086957e+06,-6.480883026e+01,
+8.043478261e+06,-6.458114624e+01,
+8.260869565e+06,-6.467558289e+01,
+8.478260870e+06,-6.461787415e+01,
+8.695652174e+06,-6.451853943e+01,
+8.913043478e+06,-6.429524231e+01,
+9.130434783e+06,-6.441685486e+01,
+9.347826087e+06,-6.444025421e+01,
+9.565217391e+06,-6.455564880e+01,
+9.782608696e+06,-6.446873474e+01,
+1.000000000e+07,-6.440477753e+01,
+1.021739130e+07,-6.456677246e+01,
+1.043478261e+07,-6.466037750e+01,
+1.065217391e+07,-6.460295105e+01,
+1.086956522e+07,-6.453218079e+01,
+1.108695652e+07,-6.457327271e+01,
+1.130434783e+07,-6.449230957e+01,
+1.152173913e+07,-6.434732056e+01,
+1.173913043e+07,-6.458280945e+01,
+1.195652174e+07,-6.465913391e+01,
+1.217391304e+07,-6.453536224e+01,
+1.239130435e+07,-6.441611481e+01,
+1.260869565e+07,-6.454588318e+01,
+1.282608696e+07,-6.452001953e+01,
+1.304347826e+07,-6.438532257e+01,
+1.326086957e+07,-6.462904358e+01,
+1.347826087e+07,-6.444998169e+01,
+1.369565217e+07,-6.444071198e+01,
+1.391304348e+07,-6.438806915e+01,
+1.413043478e+07,-6.443659973e+01,
+1.434782609e+07,-6.436697388e+01,
+1.456521739e+07,-6.440999603e+01,
+1.478260870e+07,-6.431581116e+01,
+1.500000000e+07,-6.459864807e+01,
+1.521739130e+07,-6.443637848e+01,
+1.543478261e+07,-6.442615509e+01,
+1.565217391e+07,-6.442563629e+01,
+1.586956522e+07,-6.441624451e+01,
+1.608695652e+07,-6.443675232e+01,
+1.630434783e+07,-6.445102692e+01,
+1.652173913e+07,-6.433834076e+01,
+1.673913043e+07,-6.450431824e+01,
+1.695652174e+07,-6.404280090e+01,
+1.717391304e+07,-6.422976685e+01,
+1.739130435e+07,-6.419453430e+01,
+1.760869565e+07,-6.407298279e+01,
+1.782608696e+07,-6.421765137e+01,
+1.804347826e+07,-6.410990906e+01,
+1.826086957e+07,-6.408750916e+01,
+1.847826087e+07,-6.422415161e+01,
+1.869565217e+07,-6.418766785e+01,
+1.891304348e+07,-6.409815979e+01,
+1.913043478e+07,-6.398513794e+01,
+1.934782609e+07,-6.430122375e+01,
+1.956521739e+07,-6.421537781e+01,
+1.978260870e+07,-6.411910248e+01,
+2.000000000e+07,-6.425044250e+01,
+2.021739130e+07,-6.431483459e+01,
+2.043478261e+07,-6.434690094e+01,
+2.065217391e+07,-6.409675598e+01,
+2.086956522e+07,-6.429512787e+01,
+2.108695652e+07,-6.443479919e+01,
+2.130434783e+07,-6.450247192e+01,
+2.152173913e+07,-6.444819641e+01,
+2.173913043e+07,-6.443044281e+01,
+2.195652174e+07,-6.437330627e+01,
+2.217391304e+07,-6.423026276e+01,
+2.239130435e+07,-6.437435150e+01,
+2.260869565e+07,-6.430897522e+01,
+2.282608696e+07,-6.430921936e+01,
+2.304347826e+07,-6.429718781e+01,
+2.326086957e+07,-6.429003906e+01,
+2.347826087e+07,-6.433992004e+01,
+2.369565217e+07,-6.424444580e+01,
+2.391304348e+07,-6.424283600e+01,
+2.413043478e+07,-6.442670441e+01,
+2.434782609e+07,-6.433798981e+01,
+2.456521739e+07,-6.442126465e+01,
+2.478260870e+07,-6.443420410e+01,
+2.500000000e+07,-6.434424591e+01,
+2.521739130e+07,-6.444883728e+01,
+2.543478261e+07,-6.427040100e+01,
+2.565217391e+07,-6.429946899e+01,
+2.586956522e+07,-6.434544373e+01,
+2.608695652e+07,-6.443706512e+01,
+2.630434783e+07,-6.439311218e+01,
+2.652173913e+07,-6.442256165e+01,
+2.673913043e+07,-6.430638123e+01,
+2.695652174e+07,-6.430818176e+01,
+2.717391304e+07,-6.430034637e+01,
+2.739130435e+07,-6.427759552e+01,
+2.760869565e+07,-6.428179932e+01,
+2.782608696e+07,-6.431183624e+01,
+2.804347826e+07,-6.436473846e+01,
+2.826086957e+07,-6.409391022e+01,
+2.847826087e+07,-6.427790833e+01,
+2.869565217e+07,-6.446050262e+01,
+2.891304348e+07,-6.420980835e+01,
+2.913043478e+07,-6.416670990e+01,
+2.934782609e+07,-6.434274292e+01,
+2.956521739e+07,-6.425394440e+01,
+2.978260870e+07,-6.455476379e+01,
+3.000000000e+07,-6.463200378e+01,
+3.021739130e+07,-6.443872070e+01,
+3.043478261e+07,-6.435784912e+01,
+3.065217391e+07,-6.431692505e+01,
+3.086956522e+07,-6.440351105e+01,
+3.108695652e+07,-6.431697845e+01,
+3.130434783e+07,-6.440502930e+01,
+3.152173913e+07,-6.442231750e+01,
+3.173913043e+07,-6.441804504e+01,
+3.195652174e+07,-6.442051697e+01,
+3.217391304e+07,-6.444526672e+01,
+3.239130435e+07,-6.425741577e+01,
+3.260869565e+07,-6.442192078e+01,
+3.282608696e+07,-6.459365845e+01,
+3.304347826e+07,-6.439863586e+01,
+3.326086957e+07,-6.423992920e+01,
+3.347826087e+07,-6.458188629e+01,
+3.369565217e+07,-6.431483459e+01,
+3.391304348e+07,-6.432315826e+01,
+3.413043478e+07,-6.444155884e+01,
+3.434782609e+07,-6.439367676e+01,
+3.456521739e+07,-6.450812531e+01,
+3.478260870e+07,-6.436731720e+01,
+3.500000000e+07,-6.444702148e+01,
+3.521739130e+07,-6.446383667e+01,
+3.543478261e+07,-6.439679718e+01,
+3.565217391e+07,-6.460068512e+01,
+3.586956522e+07,-6.476966095e+01,
+3.608695652e+07,-6.449620056e+01,
+3.630434783e+07,-6.444426727e+01,
+3.652173913e+07,-6.468788910e+01,
+3.673913043e+07,-6.480775452e+01,
+3.695652174e+07,-6.459716034e+01,
