Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
05:42:48 07.10.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),1.005100,MAN
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+06,MAN
VBW,+1.000000000e+06,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-5.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,5.00 MHz,-74.66 dBm
M2,1,Frequency,10.00 MHz,-72.72 dBm
M3,1,Frequency,20.00 MHz,-74.49 dBm
M4,1,Frequency,30.00 MHz,-74.64 dBm
M5,1,Frequency,40.00 MHz,-75.90 dBm
M6,1,Frequency,50.00 MHz,-78.47 dBm
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,20,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,-1.199130917e+01,
+2.173913043e+05,-2.730935097e+01,
+4.347826087e+05,-2.995539856e+01,
+6.521739130e+05,-3.298615265e+01,
+8.695652174e+05,-3.706858444e+01,
+1.086956522e+06,-4.222130585e+01,
+1.304347826e+06,-4.847438812e+01,
+1.521739130e+06,-5.587171555e+01,
+1.739130435e+06,-6.280449295e+01,
+1.956521739e+06,-6.661441040e+01,
+2.173913043e+06,-6.775583649e+01,
+2.391304348e+06,-6.943760681e+01,
+2.608695652e+06,-7.074301910e+01,
+2.826086957e+06,-7.080683899e+01,
+3.043478261e+06,-7.165588379e+01,
+3.260869565e+06,-7.216804504e+01,
+3.478260870e+06,-7.280612183e+01,
+3.695652174e+06,-7.309596252e+01,
+3.913043478e+06,-7.376562500e+01,
+4.130434783e+06,-7.380515289e+01,
+4.347826087e+06,-7.430310059e+01,
+4.565217391e+06,-7.450592041e+01,
+4.782608696e+06,-7.459273529e+01,
+5.000000000e+06,-7.465511322e+01,
+5.217391304e+06,-7.470994568e+01,
+5.434782609e+06,-7.488475037e+01,
+5.652173913e+06,-7.499346161e+01,
+5.869565217e+06,-7.499244690e+01,
+6.086956522e+06,-7.487207031e+01,
+6.304347826e+06,-7.495466614e+01,
+6.521739130e+06,-7.482497406e+01,
+6.739130435e+06,-7.438682556e+01,
+6.956521739e+06,-7.411655426e+01,
+7.173913043e+06,-7.416059113e+01,
+7.391304348e+06,-7.355000305e+01,
+7.608695652e+06,-7.369324493e+01,
+7.826086957e+06,-7.396211243e+01,
+8.043478261e+06,-7.385462952e+01,
+8.260869565e+06,-7.331845093e+01,
+8.478260870e+06,-7.368213654e+01,
+8.695652174e+06,-7.345938873e+01,
+8.913043478e+06,-7.286204529e+01,
+9.130434783e+06,-7.286640930e+01,
+9.347826087e+06,-7.316951752e+01,
+9.565217391e+06,-7.232609558e+01,
+9.782608696e+06,-7.236161804e+01,
+1.000000000e+07,-7.272357941e+01,
+1.021739130e+07,-7.276444244e+01,
+1.043478261e+07,-7.285693359e+01,
+1.065217391e+07,-7.301094055e+01,
+1.086956522e+07,-7.247853088e+01,
+1.108695652e+07,-7.265557098e+01,
+1.130434783e+07,-7.292659760e+01,
+1.152173913e+07,-7.300440979e+01,
+1.173913043e+07,-7.300048828e+01,
+1.195652174e+07,-7.314477539e+01,
+1.217391304e+07,-7.351478577e+01,
+1.239130435e+07,-7.384142303e+01,
+1.260869565e+07,-7.399526978e+01,
+1.282608696e+07,-7.409633636e+01,
+1.304347826e+07,-7.436126709e+01,
+1.326086957e+07,-7.402961731e+01,
+1.347826087e+07,-7.424146271e+01,
+1.369565217e+07,-7.410066986e+01,
+1.391304348e+07,-7.426777649e+01,
+1.413043478e+07,-7.400718689e+01,
+1.434782609e+07,-7.393209839e+01,
+1.456521739e+07,-7.426480103e+01,
+1.478260870e+07,-7.439178467e+01,
+1.500000000e+07,-7.459461975e+01,
+1.521739130e+07,-7.471038818e+01,
+1.543478261e+07,-7.463832855e+01,
+1.565217391e+07,-7.481771088e+01,
+1.586956522e+07,-7.481835938e+01,
+1.608695652e+07,-7.504400635e+01,
+1.630434783e+07,-7.507546234e+01,
+1.652173913e+07,-7.533847046e+01,
+1.673913043e+07,-7.523096466e+01,
+1.695652174e+07,-7.545060730e+01,
+1.717391304e+07,-7.524313354e+01,
+1.739130435e+07,-7.553799438e+01,
+1.760869565e+07,-7.543787384e+01,
+1.782608696e+07,-7.532865143e+01,
+1.804347826e+07,-7.539024353e+01,
+1.826086957e+07,-7.546311951e+01,
+1.847826087e+07,-7.526559448e+01,
+1.869565217e+07,-7.530545044e+01,
+1.891304348e+07,-7.534015656e+01,
+1.913043478e+07,-7.508746338e+01,
+1.934782609e+07,-7.522006989e+01,
+1.956521739e+07,-7.503025818e+01,
+1.978260870e+07,-7.482463074e+01,
+2.000000000e+07,-7.448833466e+01,
+2.021739130e+07,-7.441654205e+01,
+2.043478261e+07,-7.449336243e+01,
+2.065217391e+07,-7.398191833e+01,
+2.086956522e+07,-7.374051666e+01,
+2.108695652e+07,-7.382462311e+01,
+2.130434783e+07,-7.349871063e+01,
+2.152173913e+07,-7.364199066e+01,
+2.173913043e+07,-7.395728302e+01,
+2.195652174e+07,-7.412381744e+01,
+2.217391304e+07,-7.409098816e+01,
+2.239130435e+07,-7.433403778e+01,
+2.260869565e+07,-7.446742249e+01,
+2.282608696e+07,-7.470526886e+01,
+2.304347826e+07,-7.482462311e+01,
+2.326086957e+07,-7.491353607e+01,
+2.347826087e+07,-7.480521393e+01,
+2.369565217e+07,-7.494657898e+01,
+2.391304348e+07,-7.504017639e+01,
+2.413043478e+07,-7.482086945e+01,
+2.434782609e+07,-7.475188446e+01,
+2.456521739e+07,-7.505585480e+01,
+2.478260870e+07,-7.499482727e+01,
+2.500000000e+07,-7.492945862e+01,
+2.521739130e+07,-7.498973083e+01,
+2.543478261e+07,-7.483776093e+01,
+2.565217391e+07,-7.478643799e+01,
+2.586956522e+07,-7.485609436e+01,
+2.608695652e+07,-7.516249084e+01,
+2.630434783e+07,-7.481100464e+01,
+2.652173913e+07,-7.473356628e+01,
+2.673913043e+07,-7.484461975e+01,
+2.695652174e+07,-7.498605347e+01,
+2.717391304e+07,-7.510969543e+01,
+2.739130435e+07,-7.499898529e+01,
+2.760869565e+07,-7.488171387e+01,
+2.782608696e+07,-7.479015350e+01,
+2.804347826e+07,-7.478247833e+01,
+2.826086957e+07,-7.502671814e+01,
+2.847826087e+07,-7.503601837e+01,
+2.869565217e+07,-7.493975830e+01,
+2.891304348e+07,-7.515668488e+01,
+2.913043478e+07,-7.487994385e+01,
+2.934782609e+07,-7.473290253e+01,
+2.956521739e+07,-7.480058289e+01,
+2.978260870e+07,-7.479386139e+01,
+3.000000000e+07,-7.464498138e+01,
+3.021739130e+07,-7.477867126e+01,
+3.043478261e+07,-7.467179871e+01,
+3.065217391e+07,-7.477639008e+01,
+3.086956522e+07,-7.489933777e+01,
+3.108695652e+07,-7.476811981e+01,
+3.130434783e+07,-7.487311554e+01,
+3.152173913e+07,-7.464003754e+01,
+3.173913043e+07,-7.493582916e+01,
+3.195652174e+07,-7.461646271e+01,
+3.217391304e+07,-7.494195557e+01,
+3.239130435e+07,-7.510417938e+01,
+3.260869565e+07,-7.488896942e+01,
+3.282608696e+07,-7.505574799e+01,
+3.304347826e+07,-7.476361847e+01,
+3.326086957e+07,-7.481978607e+01,
+3.347826087e+07,-7.495257568e+01,
+3.369565217e+07,-7.499253845e+01,
+3.391304348e+07,-7.499848938e+01,
+3.413043478e+07,-7.504120636e+01,
+3.434782609e+07,-7.485307312e+01,
+3.456521739e+07,-7.491560364e+01,
+3.478260870e+07,-7.496870422e+01,
+3.500000000e+07,-7.472984314e+01,
+3.521739130e+07,-7.493263245e+01,
+3.543478261e+07,-7.500539398e+01,
+3.565217391e+07,-7.522889709e+01,
+3.586956522e+07,-7.522747803e+01,
+3.608695652e+07,-7.531874847e+01,
+3.630434783e+07,-7.496049500e+01,
+3.652173913e+07,-7.494078064e+01,
+3.673913043e+07,-7.518814850e+01,
+3.695652174e+07,-7.541871643e+01,
