Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
17:15:18 07.10.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),0.996342,MAN
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+05,MAN
VBW,+1.000000000e+05,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-5.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,5.00 MHz,-85.72 dBm
M2,1,Frequency,10.00 MHz,-84.24 dBm
M3,1,Frequency,20.00 MHz,-83.83 dBm
M4,1,Frequency,30.00 MHz,-85.21 dBm
M5,1,Frequency,40.00 MHz,-85.74 dBm
M6,1,Frequency,50.00 MHz,-87.24 dBm
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,20,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,-1.605398178e+01,
+2.173913043e+05,-6.576688385e+01,
+4.347826087e+05,-7.690074158e+01,
+6.521739130e+05,-8.399255371e+01,
+8.695652174e+05,-8.673561096e+01,
+1.086956522e+06,-8.608638000e+01,
+1.304347826e+06,-8.490311432e+01,
+1.521739130e+06,-8.513813782e+01,
+1.739130435e+06,-8.677048492e+01,
+1.956521739e+06,-8.673165131e+01,
+2.173913043e+06,-8.648853302e+01,
+2.391304348e+06,-8.607659912e+01,
+2.608695652e+06,-8.619253540e+01,
+2.826086957e+06,-8.602500153e+01,
+3.043478261e+06,-8.524668121e+01,
+3.260869565e+06,-8.466461945e+01,
+3.478260870e+06,-8.429173279e+01,
+3.695652174e+06,-8.471076202e+01,
+3.913043478e+06,-8.534037018e+01,
+4.130434783e+06,-8.577078247e+01,
+4.347826087e+06,-8.591187286e+01,
+4.565217391e+06,-8.600672150e+01,
+4.782608696e+06,-8.557957458e+01,
+5.000000000e+06,-8.572175598e+01,
+5.217391304e+06,-8.541206360e+01,
+5.434782609e+06,-8.559743500e+01,
+5.652173913e+06,-8.525761414e+01,
+5.869565217e+06,-8.508477783e+01,
+6.086956522e+06,-8.515352631e+01,
+6.304347826e+06,-8.566474915e+01,
+6.521739130e+06,-8.541773987e+01,
+6.739130435e+06,-8.516112518e+01,
+6.956521739e+06,-8.498883057e+01,
+7.173913043e+06,-8.496973419e+01,
+7.391304348e+06,-8.483233643e+01,
+7.608695652e+06,-8.491685486e+01,
+7.826086957e+06,-8.509049225e+01,
+8.043478261e+06,-8.493146515e+01,
+8.260869565e+06,-8.476583099e+01,
+8.478260870e+06,-8.482217407e+01,
+8.695652174e+06,-8.428884125e+01,
+8.913043478e+06,-8.403794861e+01,
+9.130434783e+06,-8.413550568e+01,
+9.347826087e+06,-8.457028961e+01,
+9.565217391e+06,-8.423753357e+01,
+9.782608696e+06,-8.446249390e+01,
+1.000000000e+07,-8.423811340e+01,
+1.021739130e+07,-8.455733490e+01,
+1.043478261e+07,-8.457213593e+01,
+1.065217391e+07,-8.476542664e+01,
+1.086956522e+07,-8.464623260e+01,
+1.108695652e+07,-8.473413849e+01,
+1.130434783e+07,-8.470224762e+01,
+1.152173913e+07,-8.506019592e+01,
+1.173913043e+07,-8.515816498e+01,
+1.195652174e+07,-8.511978912e+01,
+1.217391304e+07,-8.483809662e+01,
+1.239130435e+07,-8.445845795e+01,
+1.260869565e+07,-8.501777649e+01,
+1.282608696e+07,-8.491483307e+01,
+1.304347826e+07,-8.448721313e+01,
+1.326086957e+07,-8.441679382e+01,
+1.347826087e+07,-8.450719452e+01,
+1.369565217e+07,-8.474825287e+01,
+1.391304348e+07,-8.473923492e+01,
+1.413043478e+07,-8.454814911e+01,
+1.434782609e+07,-8.493954468e+01,
+1.456521739e+07,-8.506906128e+01,
+1.478260870e+07,-8.494157410e+01,
+1.500000000e+07,-8.412523651e+01,
+1.521739130e+07,-8.520886230e+01,
+1.543478261e+07,-8.523927307e+01,
+1.565217391e+07,-8.494695282e+01,
+1.586956522e+07,-8.516359711e+01,
+1.608695652e+07,-8.474046326e+01,
+1.630434783e+07,-8.446600342e+01,
+1.652173913e+07,-8.390287018e+01,
+1.673913043e+07,-8.370767212e+01,
+1.695652174e+07,-8.352732849e+01,
+1.717391304e+07,-8.301285553e+01,
+1.739130435e+07,-8.337538147e+01,
+1.760869565e+07,-8.309062195e+01,
+1.782608696e+07,-8.328688049e+01,
+1.804347826e+07,-8.308287048e+01,
+1.826086957e+07,-8.348852539e+01,
+1.847826087e+07,-8.360905457e+01,
+1.869565217e+07,-8.354958344e+01,
+1.891304348e+07,-8.377595520e+01,
+1.913043478e+07,-8.389217377e+01,
+1.934782609e+07,-8.413633728e+01,
+1.956521739e+07,-8.418348694e+01,
+1.978260870e+07,-8.377798462e+01,
+2.000000000e+07,-8.383408356e+01,
+2.021739130e+07,-8.370698547e+01,
+2.043478261e+07,-8.374624634e+01,
+2.065217391e+07,-8.298027039e+01,
+2.086956522e+07,-8.282549286e+01,
+2.108695652e+07,-8.214325714e+01,
+2.130434783e+07,-8.136156464e+01,
+2.152173913e+07,-8.106202698e+01,
+2.173913043e+07,-8.208675385e+01,
+2.195652174e+07,-8.275640106e+01,
+2.217391304e+07,-8.308552551e+01,
+2.239130435e+07,-8.308309937e+01,
+2.260869565e+07,-8.340938568e+01,
+2.282608696e+07,-8.377711487e+01,
+2.304347826e+07,-8.375482941e+01,
+2.326086957e+07,-8.409715271e+01,
+2.347826087e+07,-8.400579071e+01,
+2.369565217e+07,-8.401913452e+01,
+2.391304348e+07,-8.429198456e+01,
+2.413043478e+07,-8.450000763e+01,
+2.434782609e+07,-8.460752869e+01,
+2.456521739e+07,-8.443978119e+01,
+2.478260870e+07,-8.476558685e+01,
+2.500000000e+07,-8.492722321e+01,
+2.521739130e+07,-8.516366577e+01,
+2.543478261e+07,-8.505279541e+01,
+2.565217391e+07,-8.475658417e+01,
+2.586956522e+07,-8.518212128e+01,
+2.608695652e+07,-8.491760254e+01,
+2.630434783e+07,-8.492384338e+01,
+2.652173913e+07,-8.507130432e+01,
+2.673913043e+07,-8.499736786e+01,
+2.695652174e+07,-8.498599243e+01,
+2.717391304e+07,-8.474822235e+01,
+2.739130435e+07,-8.495446777e+01,
+2.760869565e+07,-8.488922882e+01,
+2.782608696e+07,-8.514492035e+01,
+2.804347826e+07,-8.519723511e+01,
+2.826086957e+07,-8.485655212e+01,
+2.847826087e+07,-8.457949829e+01,
+2.869565217e+07,-8.482850647e+01,
+2.891304348e+07,-8.499530029e+01,
+2.913043478e+07,-8.487648773e+01,
+2.934782609e+07,-8.478768158e+01,
+2.956521739e+07,-8.509733582e+01,
+2.978260870e+07,-8.491783142e+01,
+3.000000000e+07,-8.520594788e+01,
+3.021739130e+07,-8.522444153e+01,
+3.043478261e+07,-8.519731903e+01,
+3.065217391e+07,-8.545561981e+01,
+3.086956522e+07,-8.521702576e+01,
+3.108695652e+07,-8.535841370e+01,
+3.130434783e+07,-8.543991852e+01,
+3.152173913e+07,-8.532872772e+01,
+3.173913043e+07,-8.537815857e+01,
+3.195652174e+07,-8.518046570e+01,
+3.217391304e+07,-8.543469238e+01,
+3.239130435e+07,-8.518983459e+01,
+3.260869565e+07,-8.544535828e+01,
+3.282608696e+07,-8.524800110e+01,
+3.304347826e+07,-8.542189026e+01,
+3.326086957e+07,-8.537935638e+01,
+3.347826087e+07,-8.540647125e+01,
+3.369565217e+07,-8.552906799e+01,
+3.391304348e+07,-8.538264465e+01,
+3.413043478e+07,-8.561859894e+01,
+3.434782609e+07,-8.506385040e+01,
+3.456521739e+07,-8.533190918e+01,
+3.478260870e+07,-8.539158630e+01,
+3.500000000e+07,-8.522808075e+01,
+3.521739130e+07,-8.522297668e+01,
+3.543478261e+07,-8.526306915e+01,
+3.565217391e+07,-8.526805115e+01,
+3.586956522e+07,-8.528425598e+01,
+3.608695652e+07,-8.537742615e+01,
+3.630434783e+07,-8.541087341e+01,
+3.652173913e+07,-8.538040161e+01,
+3.673913043e+07,-8.527149200e+01,
+3.695652174e+07,-8.538588715e+01,
