Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
17:16:08 07.10.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),0.996342,MAN
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+05,MAN
VBW,+1.000000000e+05,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-5.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,5.00 MHz,-75.55 dBm
M2,1,Frequency,10.00 MHz,-74.12 dBm
M3,1,Frequency,20.00 MHz,-74.03 dBm
M4,1,Frequency,30.00 MHz,-73.94 dBm
M5,1,Frequency,40.00 MHz,-74.83 dBm
M6,1,Frequency,50.00 MHz,-76.95 dBm
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,20,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,-1.605404091e+01,
+2.173913043e+05,-6.571454620e+01,
+4.347826087e+05,-7.706101227e+01,
+6.521739130e+05,-8.400180817e+01,
+8.695652174e+05,-8.585105896e+01,
+1.086956522e+06,-8.552090454e+01,
+1.304347826e+06,-8.292852020e+01,
+1.521739130e+06,-8.096244812e+01,
+1.739130435e+06,-8.067637634e+01,
+1.956521739e+06,-8.064488983e+01,
+2.173913043e+06,-8.063582611e+01,
+2.391304348e+06,-7.987569427e+01,
+2.608695652e+06,-7.951414490e+01,
+2.826086957e+06,-7.929917908e+01,
+3.043478261e+06,-7.893191528e+01,
+3.260869565e+06,-7.813359833e+01,
+3.478260870e+06,-7.753811646e+01,
+3.695652174e+06,-7.710346985e+01,
+3.913043478e+06,-7.667144775e+01,
+4.130434783e+06,-7.635543060e+01,
+4.347826087e+06,-7.587367249e+01,
+4.565217391e+06,-7.597254944e+01,
+4.782608696e+06,-7.556889343e+01,
+5.000000000e+06,-7.555052185e+01,
+5.217391304e+06,-7.535403442e+01,
+5.434782609e+06,-7.483977509e+01,
+5.652173913e+06,-7.494667053e+01,
+5.869565217e+06,-7.479798889e+01,
+6.086956522e+06,-7.484910583e+01,
+6.304347826e+06,-7.480378723e+01,
+6.521739130e+06,-7.457566833e+01,
+6.739130435e+06,-7.445088959e+01,
+6.956521739e+06,-7.460858154e+01,
+7.173913043e+06,-7.466989899e+01,
+7.391304348e+06,-7.452851868e+01,
+7.608695652e+06,-7.459468079e+01,
+7.826086957e+06,-7.446751404e+01,
+8.043478261e+06,-7.433689117e+01,
+8.260869565e+06,-7.445994568e+01,
+8.478260870e+06,-7.409449768e+01,
+8.695652174e+06,-7.421697235e+01,
+8.913043478e+06,-7.425841522e+01,
+9.130434783e+06,-7.411337280e+01,
+9.347826087e+06,-7.443902588e+01,
+9.565217391e+06,-7.422084045e+01,
+9.782608696e+06,-7.424471283e+01,
+1.000000000e+07,-7.412421417e+01,
+1.021739130e+07,-7.449935150e+01,
+1.043478261e+07,-7.407256317e+01,
+1.065217391e+07,-7.426917267e+01,
+1.086956522e+07,-7.414260864e+01,
+1.108695652e+07,-7.468964386e+01,
+1.130434783e+07,-7.416355896e+01,
+1.152173913e+07,-7.421910858e+01,
+1.173913043e+07,-7.425362396e+01,
+1.195652174e+07,-7.430153656e+01,
+1.217391304e+07,-7.410777283e+01,
+1.239130435e+07,-7.433759308e+01,
+1.260869565e+07,-7.389015198e+01,
+1.282608696e+07,-7.412397766e+01,
+1.304347826e+07,-7.388051605e+01,
+1.326086957e+07,-7.439765930e+01,
+1.347826087e+07,-7.392024231e+01,
+1.369565217e+07,-7.420323181e+01,
+1.391304348e+07,-7.421861267e+01,
+1.413043478e+07,-7.410398865e+01,
+1.434782609e+07,-7.427083588e+01,
+1.456521739e+07,-7.384400177e+01,
+1.478260870e+07,-7.418453979e+01,
+1.500000000e+07,-7.403224182e+01,
+1.521739130e+07,-7.394358826e+01,
+1.543478261e+07,-7.429110718e+01,
+1.565217391e+07,-7.395882416e+01,
+1.586956522e+07,-7.460480499e+01,
+1.608695652e+07,-7.425444031e+01,
+1.630434783e+07,-7.427714539e+01,
+1.652173913e+07,-7.428834534e+01,
+1.673913043e+07,-7.391133881e+01,
+1.695652174e+07,-7.373394775e+01,
+1.717391304e+07,-7.393328857e+01,
+1.739130435e+07,-7.359416199e+01,
+1.760869565e+07,-7.361236572e+01,
+1.782608696e+07,-7.370901489e+01,
+1.804347826e+07,-7.377433777e+01,
+1.826086957e+07,-7.354206848e+01,
+1.847826087e+07,-7.398876190e+01,
+1.869565217e+07,-7.381956482e+01,
+1.891304348e+07,-7.386582947e+01,
+1.913043478e+07,-7.371681213e+01,
+1.934782609e+07,-7.384040833e+01,
+1.956521739e+07,-7.389276123e+01,
+1.978260870e+07,-7.391368866e+01,
+2.000000000e+07,-7.403308105e+01,
+2.021739130e+07,-7.381649017e+01,
+2.043478261e+07,-7.369431305e+01,
+2.065217391e+07,-7.410931396e+01,
+2.086956522e+07,-7.408040619e+01,
+2.108695652e+07,-7.407017517e+01,
+2.130434783e+07,-7.392742157e+01,
+2.152173913e+07,-7.410569763e+01,
+2.173913043e+07,-7.381386566e+01,
+2.195652174e+07,-7.393533325e+01,
+2.217391304e+07,-7.420524597e+01,
+2.239130435e+07,-7.407576752e+01,
+2.260869565e+07,-7.436771393e+01,
+2.282608696e+07,-7.417622375e+01,
+2.304347826e+07,-7.413136292e+01,
+2.326086957e+07,-7.394420624e+01,
+2.347826087e+07,-7.404388428e+01,
+2.369565217e+07,-7.420766449e+01,
+2.391304348e+07,-7.403965759e+01,
+2.413043478e+07,-7.418430328e+01,
+2.434782609e+07,-7.400618744e+01,
+2.456521739e+07,-7.386351776e+01,
+2.478260870e+07,-7.425338745e+01,
+2.500000000e+07,-7.404847717e+01,
+2.521739130e+07,-7.402355194e+01,
+2.543478261e+07,-7.428408813e+01,
+2.565217391e+07,-7.405989075e+01,
+2.586956522e+07,-7.392649841e+01,
+2.608695652e+07,-7.405432129e+01,
+2.630434783e+07,-7.390237427e+01,
+2.652173913e+07,-7.417846680e+01,
+2.673913043e+07,-7.430793762e+01,
+2.695652174e+07,-7.403597260e+01,
+2.717391304e+07,-7.399610901e+01,
+2.739130435e+07,-7.396693420e+01,
+2.760869565e+07,-7.409650421e+01,
+2.782608696e+07,-7.403263855e+01,
+2.804347826e+07,-7.379817200e+01,
+2.826086957e+07,-7.384718323e+01,
+2.847826087e+07,-7.430827332e+01,
+2.869565217e+07,-7.387495422e+01,
+2.891304348e+07,-7.408510590e+01,
+2.913043478e+07,-7.382016754e+01,
+2.934782609e+07,-7.426029968e+01,
+2.956521739e+07,-7.429895020e+01,
+2.978260870e+07,-7.425382996e+01,
+3.000000000e+07,-7.393746185e+01,
+3.021739130e+07,-7.418332672e+01,
+3.043478261e+07,-7.421562958e+01,
+3.065217391e+07,-7.451689911e+01,
+3.086956522e+07,-7.441045380e+01,
+3.108695652e+07,-7.390727234e+01,
+3.130434783e+07,-7.413538361e+01,
+3.152173913e+07,-7.361665344e+01,
+3.173913043e+07,-7.412026978e+01,
+3.195652174e+07,-7.415251160e+01,
+3.217391304e+07,-7.420699310e+01,
+3.239130435e+07,-7.410289001e+01,
+3.260869565e+07,-7.424018860e+01,
+3.282608696e+07,-7.440700531e+01,
+3.304347826e+07,-7.421486664e+01,
+3.326086957e+07,-7.431858063e+01,
+3.347826087e+07,-7.401655579e+01,
+3.369565217e+07,-7.412239838e+01,
+3.391304348e+07,-7.412924957e+01,
+3.413043478e+07,-7.409003448e+01,
+3.434782609e+07,-7.393090057e+01,
+3.456521739e+07,-7.406088257e+01,
+3.478260870e+07,-7.427925873e+01,
+3.500000000e+07,-7.454517365e+01,
+3.521739130e+07,-7.426432800e+01,
+3.543478261e+07,-7.432373047e+01,
+3.565217391e+07,-7.435266113e+01,
+3.586956522e+07,-7.429081726e+01,
+3.608695652e+07,-7.438421631e+01,
+3.630434783e+07,-7.422113037e+01,
+3.652173913e+07,-7.421772766e+01,
+3.673913043e+07,-7.418965912e+01,
+3.695652174e+07,-7.448803711e+01,
