Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
04:26:50 07.11.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),1.005100,MAN
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+06,MAN
VBW,+1.000000000e+06,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-5.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,5.00 MHz,-75.63 dBm
M2,1,Frequency,10.00 MHz,-73.40 dBm
M3,1,Frequency,20.00 MHz,-74.78 dBm
M4,1,Frequency,30.00 MHz,-75.21 dBm
M5,1,Frequency,40.00 MHz,-75.93 dBm
M6,1,Frequency,50.00 MHz,-78.18 dBm
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,20,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,-1.119281197e+01,
+2.173913043e+05,-2.650984192e+01,
+4.347826087e+05,-2.917193031e+01,
+6.521739130e+05,-3.220686340e+01,
+8.695652174e+05,-3.628450394e+01,
+1.086956522e+06,-4.145601654e+01,
+1.304347826e+06,-4.772336197e+01,
+1.521739130e+06,-5.510044098e+01,
+1.739130435e+06,-6.365229416e+01,
+1.956521739e+06,-7.082298279e+01,
+2.173913043e+06,-7.384956360e+01,
+2.391304348e+06,-7.512882996e+01,
+2.608695652e+06,-7.565715027e+01,
+2.826086957e+06,-7.572293091e+01,
+3.043478261e+06,-7.600052643e+01,
+3.260869565e+06,-7.626668549e+01,
+3.478260870e+06,-7.600396729e+01,
+3.695652174e+06,-7.611251068e+01,
+3.913043478e+06,-7.606259918e+01,
+4.130434783e+06,-7.594789124e+01,
+4.347826087e+06,-7.591992950e+01,
+4.565217391e+06,-7.571629333e+01,
+4.782608696e+06,-7.575357819e+01,
+5.000000000e+06,-7.562644196e+01,
+5.217391304e+06,-7.539930725e+01,
+5.434782609e+06,-7.530348206e+01,
+5.652173913e+06,-7.514773560e+01,
+5.869565217e+06,-7.515369415e+01,
+6.086956522e+06,-7.508855438e+01,
+6.304347826e+06,-7.521232605e+01,
+6.521739130e+06,-7.491761017e+01,
+6.739130435e+06,-7.504640198e+01,
+6.956521739e+06,-7.484519958e+01,
+7.173913043e+06,-7.462239075e+01,
+7.391304348e+06,-7.452951050e+01,
+7.608695652e+06,-7.427868652e+01,
+7.826086957e+06,-7.445038605e+01,
+8.043478261e+06,-7.435195923e+01,
+8.260869565e+06,-7.446052551e+01,
+8.478260870e+06,-7.432633972e+01,
+8.695652174e+06,-7.433869934e+01,
+8.913043478e+06,-7.412605286e+01,
+9.130434783e+06,-7.407952881e+01,
+9.347826087e+06,-7.354529572e+01,
+9.565217391e+06,-7.338385773e+01,
+9.782608696e+06,-7.340975189e+01,
+1.000000000e+07,-7.340095520e+01,
+1.021739130e+07,-7.336271667e+01,
+1.043478261e+07,-7.347676086e+01,
+1.065217391e+07,-7.335610962e+01,
+1.086956522e+07,-7.314428711e+01,
+1.108695652e+07,-7.340924072e+01,
+1.130434783e+07,-7.325759888e+01,
+1.152173913e+07,-7.281859589e+01,
+1.173913043e+07,-7.212499237e+01,
+1.195652174e+07,-7.208264160e+01,
+1.217391304e+07,-7.220115662e+01,
+1.239130435e+07,-7.266494751e+01,
+1.260869565e+07,-7.335746002e+01,
+1.282608696e+07,-7.407435608e+01,
+1.304347826e+07,-7.440287781e+01,
+1.326086957e+07,-7.485990906e+01,
+1.347826087e+07,-7.459721375e+01,
+1.369565217e+07,-7.436145020e+01,
+1.391304348e+07,-7.447087097e+01,
+1.413043478e+07,-7.443783569e+01,
+1.434782609e+07,-7.473271179e+01,
+1.456521739e+07,-7.488253784e+01,
+1.478260870e+07,-7.523854065e+01,
+1.500000000e+07,-7.512947845e+01,
+1.521739130e+07,-7.483533478e+01,
+1.543478261e+07,-7.484944153e+01,
+1.565217391e+07,-7.477583313e+01,
+1.586956522e+07,-7.453504944e+01,
+1.608695652e+07,-7.468637085e+01,
+1.630434783e+07,-7.467712402e+01,
+1.652173913e+07,-7.446785736e+01,
+1.673913043e+07,-7.443210602e+01,
+1.695652174e+07,-7.438774109e+01,
+1.717391304e+07,-7.433370972e+01,
+1.739130435e+07,-7.434973907e+01,
+1.760869565e+07,-7.441363525e+01,
+1.782608696e+07,-7.445658112e+01,
+1.804347826e+07,-7.452691650e+01,
+1.826086957e+07,-7.456516266e+01,
+1.847826087e+07,-7.424030304e+01,
+1.869565217e+07,-7.459825134e+01,
+1.891304348e+07,-7.475774384e+01,
+1.913043478e+07,-7.448552704e+01,
+1.934782609e+07,-7.489138031e+01,
+1.956521739e+07,-7.474600220e+01,
+1.978260870e+07,-7.504145050e+01,
+2.000000000e+07,-7.478292847e+01,
+2.021739130e+07,-7.473242188e+01,
+2.043478261e+07,-7.488113403e+01,
+2.065217391e+07,-7.491197968e+01,
+2.086956522e+07,-7.466062927e+01,
+2.108695652e+07,-7.450428009e+01,
+2.130434783e+07,-7.470005035e+01,
+2.152173913e+07,-7.469819641e+01,
+2.173913043e+07,-7.490830231e+01,
+2.195652174e+07,-7.490632629e+01,
+2.217391304e+07,-7.501188660e+01,
+2.239130435e+07,-7.494329071e+01,
+2.260869565e+07,-7.520811462e+01,
+2.282608696e+07,-7.519837952e+01,
+2.304347826e+07,-7.525791168e+01,
+2.326086957e+07,-7.532004547e+01,
+2.347826087e+07,-7.523048401e+01,
+2.369565217e+07,-7.546318054e+01,
+2.391304348e+07,-7.522053528e+01,
+2.413043478e+07,-7.529762268e+01,
+2.434782609e+07,-7.531845856e+01,
+2.456521739e+07,-7.550666809e+01,
+2.478260870e+07,-7.560757446e+01,
+2.500000000e+07,-7.552393341e+01,
+2.521739130e+07,-7.554075623e+01,
+2.543478261e+07,-7.564123535e+01,
+2.565217391e+07,-7.549153900e+01,
+2.586956522e+07,-7.559846497e+01,
+2.608695652e+07,-7.546424103e+01,
+2.630434783e+07,-7.546377563e+01,
+2.652173913e+07,-7.547171021e+01,
+2.673913043e+07,-7.547179413e+01,
+2.695652174e+07,-7.541786194e+01,
+2.717391304e+07,-7.554741669e+01,
+2.739130435e+07,-7.534336090e+01,
+2.760869565e+07,-7.540987396e+01,
+2.782608696e+07,-7.542869568e+01,
+2.804347826e+07,-7.535540771e+01,
+2.826086957e+07,-7.521174622e+01,
+2.847826087e+07,-7.525424957e+01,
+2.869565217e+07,-7.496473694e+01,
+2.891304348e+07,-7.537617493e+01,
+2.913043478e+07,-7.517514038e+01,
+2.934782609e+07,-7.518420410e+01,
+2.956521739e+07,-7.519439697e+01,
+2.978260870e+07,-7.501422119e+01,
+3.000000000e+07,-7.521478271e+01,
+3.021739130e+07,-7.514260864e+01,
+3.043478261e+07,-7.509143066e+01,
+3.065217391e+07,-7.517912292e+01,
+3.086956522e+07,-7.529222107e+01,
+3.108695652e+07,-7.550025177e+01,
+3.130434783e+07,-7.563616943e+01,
+3.152173913e+07,-7.544688416e+01,
+3.173913043e+07,-7.556101990e+01,
+3.195652174e+07,-7.557350922e+01,
+3.217391304e+07,-7.545507813e+01,
+3.239130435e+07,-7.543221283e+01,
+3.260869565e+07,-7.560788727e+01,
+3.282608696e+07,-7.572429657e+01,
+3.304347826e+07,-7.586747742e+01,
+3.326086957e+07,-7.564157867e+01,
+3.347826087e+07,-7.541894531e+01,
+3.369565217e+07,-7.553830719e+01,
+3.391304348e+07,-7.549513245e+01,
+3.413043478e+07,-7.546341705e+01,
+3.434782609e+07,-7.541521454e+01,
+3.456521739e+07,-7.528121185e+01,
+3.478260870e+07,-7.537763214e+01,
+3.500000000e+07,-7.537046051e+01,
+3.521739130e+07,-7.547583008e+01,
+3.543478261e+07,-7.553291321e+01,
+3.565217391e+07,-7.563160706e+01,
+3.586956522e+07,-7.540946198e+01,
+3.608695652e+07,-7.549756622e+01,
+3.630434783e+07,-7.558409119e+01,
+3.652173913e+07,-7.569269562e+01,
+3.673913043e+07,-7.553827667e+01,
+3.695652174e+07,-7.575300598e+01,
