Machine Module,N9343C,CN0605A298
MCU Version,A.06.27
DSP Version,A.05.02.02 SA
FPGA Version,A.02.80
04:27:45 07.11.2020
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),1.005100,MAN
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+06,MAN
VBW,+1.000000000e+06,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,-5.000000000e+01
Attenuation,0,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,5.00 MHz,-65.98 dBm
M2,1,Frequency,10.00 MHz,-63.99 dBm
M3,1,Frequency,20.00 MHz,-64.30 dBm
M4,1,Frequency,30.00 MHz,-64.41 dBm
M5,1,Frequency,40.00 MHz,-64.87 dBm
M6,1,Frequency,50.00 MHz,-67.46 dBm
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,20,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,-1.121039867e+01,
+2.173913043e+05,-2.652923965e+01,
+4.347826087e+05,-2.919280052e+01,
+6.521739130e+05,-3.222587585e+01,
+8.695652174e+05,-3.630474091e+01,
+1.086956522e+06,-4.147735596e+01,
+1.304347826e+06,-4.773873520e+01,
+1.521739130e+06,-5.513694000e+01,
+1.739130435e+06,-6.334566116e+01,
+1.956521739e+06,-6.803872681e+01,
+2.173913043e+06,-6.921754456e+01,
+2.391304348e+06,-6.924051666e+01,
+2.608695652e+06,-6.915135193e+01,
+2.826086957e+06,-6.895212555e+01,
+3.043478261e+06,-6.861689758e+01,
+3.260869565e+06,-6.790047455e+01,
+3.478260870e+06,-6.778136444e+01,
+3.695652174e+06,-6.738246155e+01,
+3.913043478e+06,-6.697997284e+01,
+4.130434783e+06,-6.665483856e+01,
+4.347826087e+06,-6.640741730e+01,
+4.565217391e+06,-6.609873962e+01,
+4.782608696e+06,-6.581407928e+01,
+5.000000000e+06,-6.598281860e+01,
+5.217391304e+06,-6.556965637e+01,
+5.434782609e+06,-6.544916534e+01,
+5.652173913e+06,-6.511427307e+01,
+5.869565217e+06,-6.516241455e+01,
+6.086956522e+06,-6.515493774e+01,
+6.304347826e+06,-6.486743927e+01,
+6.521739130e+06,-6.473481750e+01,
+6.739130435e+06,-6.481564331e+01,
+6.956521739e+06,-6.464171600e+01,
+7.173913043e+06,-6.469174194e+01,
+7.391304348e+06,-6.445114899e+01,
+7.608695652e+06,-6.452078247e+01,
+7.826086957e+06,-6.459860992e+01,
+8.043478261e+06,-6.451461792e+01,
+8.260869565e+06,-6.442860413e+01,
+8.478260870e+06,-6.444701385e+01,
+8.695652174e+06,-6.459942627e+01,
+8.913043478e+06,-6.440412903e+01,
+9.130434783e+06,-6.430185699e+01,
+9.347826087e+06,-6.426971436e+01,
+9.565217391e+06,-6.438264465e+01,
+9.782608696e+06,-6.405503845e+01,
+1.000000000e+07,-6.399172974e+01,
+1.021739130e+07,-6.450396729e+01,
+1.043478261e+07,-6.419438171e+01,
+1.065217391e+07,-6.417941284e+01,
+1.086956522e+07,-6.412436676e+01,
+1.108695652e+07,-6.428028870e+01,
+1.130434783e+07,-6.440641022e+01,
+1.152173913e+07,-6.404549408e+01,
+1.173913043e+07,-6.411088562e+01,
+1.195652174e+07,-6.398015213e+01,
+1.217391304e+07,-6.404880524e+01,
+1.239130435e+07,-6.401371765e+01,
+1.260869565e+07,-6.433277893e+01,
+1.282608696e+07,-6.413667297e+01,
+1.304347826e+07,-6.432522583e+01,
+1.326086957e+07,-6.434423065e+01,
+1.347826087e+07,-6.462165070e+01,
+1.369565217e+07,-6.437536621e+01,
+1.391304348e+07,-6.452896881e+01,
+1.413043478e+07,-6.458589172e+01,
+1.434782609e+07,-6.435778809e+01,
+1.456521739e+07,-6.440065002e+01,
+1.478260870e+07,-6.460739136e+01,
+1.500000000e+07,-6.431965637e+01,
+1.521739130e+07,-6.455259705e+01,
+1.543478261e+07,-6.442372131e+01,
+1.565217391e+07,-6.450639343e+01,
+1.586956522e+07,-6.433329010e+01,
+1.608695652e+07,-6.438044739e+01,
+1.630434783e+07,-6.445694733e+01,
+1.652173913e+07,-6.441408539e+01,
+1.673913043e+07,-6.427455139e+01,
+1.695652174e+07,-6.431943512e+01,
+1.717391304e+07,-6.411759949e+01,
+1.739130435e+07,-6.409750366e+01,
+1.760869565e+07,-6.411384583e+01,
+1.782608696e+07,-6.396870804e+01,
+1.804347826e+07,-6.416722107e+01,
+1.826086957e+07,-6.414924622e+01,
+1.847826087e+07,-6.401895905e+01,
+1.869565217e+07,-6.406568146e+01,
+1.891304348e+07,-6.418934631e+01,
+1.913043478e+07,-6.409159851e+01,
+1.934782609e+07,-6.416461182e+01,
+1.956521739e+07,-6.409986115e+01,
+1.978260870e+07,-6.410286713e+01,
+2.000000000e+07,-6.429846954e+01,
+2.021739130e+07,-6.424517059e+01,
+2.043478261e+07,-6.423445892e+01,
+2.065217391e+07,-6.418824768e+01,
+2.086956522e+07,-6.442636871e+01,
+2.108695652e+07,-6.427308655e+01,
+2.130434783e+07,-6.430897522e+01,
+2.152173913e+07,-6.414758301e+01,
+2.173913043e+07,-6.451383972e+01,
+2.195652174e+07,-6.432983398e+01,
+2.217391304e+07,-6.424127197e+01,
+2.239130435e+07,-6.443727112e+01,
+2.260869565e+07,-6.450563049e+01,
+2.282608696e+07,-6.441128540e+01,
+2.304347826e+07,-6.452811432e+01,
+2.326086957e+07,-6.450202179e+01,
+2.347826087e+07,-6.421127319e+01,
+2.369565217e+07,-6.428390503e+01,
+2.391304348e+07,-6.419945526e+01,
+2.413043478e+07,-6.435251617e+01,
+2.434782609e+07,-6.414113617e+01,
+2.456521739e+07,-6.427346802e+01,
+2.478260870e+07,-6.445628357e+01,
+2.500000000e+07,-6.434028625e+01,
+2.521739130e+07,-6.432192230e+01,
+2.543478261e+07,-6.453794098e+01,
+2.565217391e+07,-6.433502960e+01,
+2.586956522e+07,-6.451903534e+01,
+2.608695652e+07,-6.434342194e+01,
+2.630434783e+07,-6.433724976e+01,
+2.652173913e+07,-6.449136353e+01,
+2.673913043e+07,-6.442858124e+01,
+2.695652174e+07,-6.438251495e+01,
+2.717391304e+07,-6.430273438e+01,
+2.739130435e+07,-6.428910828e+01,
+2.760869565e+07,-6.430065155e+01,
+2.782608696e+07,-6.432427216e+01,
+2.804347826e+07,-6.440788269e+01,
+2.826086957e+07,-6.447129822e+01,
+2.847826087e+07,-6.454527283e+01,
+2.869565217e+07,-6.447138214e+01,
+2.891304348e+07,-6.428401947e+01,
+2.913043478e+07,-6.433955383e+01,
+2.934782609e+07,-6.441722107e+01,
+2.956521739e+07,-6.434062195e+01,
+2.978260870e+07,-6.443693542e+01,
+3.000000000e+07,-6.440998077e+01,
+3.021739130e+07,-6.425875092e+01,
+3.043478261e+07,-6.438407898e+01,
+3.065217391e+07,-6.440323639e+01,
+3.086956522e+07,-6.444547272e+01,
+3.108695652e+07,-6.422402954e+01,
+3.130434783e+07,-6.466300964e+01,
+3.152173913e+07,-6.440902710e+01,
+3.173913043e+07,-6.439286804e+01,
+3.195652174e+07,-6.446638489e+01,
+3.217391304e+07,-6.452211761e+01,
+3.239130435e+07,-6.437738037e+01,
+3.260869565e+07,-6.458206940e+01,
+3.282608696e+07,-6.452366638e+01,
+3.304347826e+07,-6.441050720e+01,
+3.326086957e+07,-6.442810059e+01,
+3.347826087e+07,-6.451742554e+01,
+3.369565217e+07,-6.436145020e+01,
+3.391304348e+07,-6.434694672e+01,
+3.413043478e+07,-6.442684937e+01,
+3.434782609e+07,-6.445733643e+01,
+3.456521739e+07,-6.465422821e+01,
+3.478260870e+07,-6.470183563e+01,
+3.500000000e+07,-6.448757935e+01,
+3.521739130e+07,-6.458306885e+01,
+3.543478261e+07,-6.453291321e+01,
+3.565217391e+07,-6.444245911e+01,
+3.586956522e+07,-6.465497589e+01,
+3.608695652e+07,-6.443122101e+01,
+3.630434783e+07,-6.451232910e+01,
+3.652173913e+07,-6.452455902e+01,
+3.673913043e+07,-6.457624817e+01,
+3.695652174e+07,-6.437978363e+01,
